,날짜,변동 %,야간변화율
0,2023-07-31,0.17,0.788
1,2023-08-01,0.93,0.447
2,2023-08-02,1.31,-0.583
3,2023-08-03,-1.9,0.317
4,2023-08-04,-0.42,0.03
5,2023-08-07,-0.1,-0.431
6,2023-08-08,-0.85,0.681
7,2023-08-09,-0.26,0.257
8,2023-08-10,1.21,-0.488
9,2023-08-11,-0.14,0.372
10,2023-08-14,-0.4,-0.183
11,2023-08-16,-0.79,-0.807
12,2023-08-17,-1.76,-0.504
13,2023-08-18,-0.23,-0.979
14,2023-08-21,-0.61,0.287
15,2023-08-22,0.17,0.781
16,2023-08-23,0.28,-0.228
17,2023-08-24,-0.41,1.049
18,2023-08-25,1.28,-1.272
19,2023-08-28,-0.73,0.607
20,2023-08-29,0.96,0.289
21,2023-08-30,0.34,0.911
22,2023-08-31,0.35,0.126
23,2023-09-01,-0.19,-0.17
24,2023-09-04,0.29,0.126
25,2023-09-05,0.81,-0.218
26,2023-09-06,-0.09,-0.185
27,2023-09-07,-0.73,-0.33
28,2023-09-08,-0.59,-0.086
29,2023-09-11,-0.02,0.086
30,2023-09-12,0.36,0.373
31,2023-09-13,-0.79,-0.014
32,2023-09-14,-0.07,0.402
33,2023-09-15,1.51,0.081
34,2023-09-18,1.1,-0.484
35,2023-09-19,-1.02,0.18
36,2023-09-20,-0.6,-0.104
37,2023-09-21,0.02,-0.583
38,2023-09-22,-1.75,-0.935
39,2023-09-25,-0.27,-0.161
40,2023-09-26,-0.49,-0.085
41,2023-09-27,-1.31,-0.608
42,2023-10-04,0.09,-1.188
43,2023-10-05,-2.41,0.734
44,2023-10-06,-0.09,0.217
45,2023-10-10,0.21,1.156
46,2023-10-11,-0.26,1.413
47,2023-10-12,1.98,0.617
48,2023-10-13,1.21,-0.765
49,2023-10-16,-0.95,-0.559
50,2023-10-17,-0.81,0.735
51,2023-10-18,0.98,-0.33
52,2023-10-19,0.1,-1.246
53,2023-10-20,-1.9,-1.004
