,날짜,야간 변동률
0,2023-07-31,0.039
1,2023-08-01,0.033
2,2023-08-02,0.031
3,2023-08-03,0.042
4,2023-08-04,0.071
5,2023-08-07,0.016
6,2023-08-08,0.048
7,2023-08-09,0.023
8,2023-08-10,0.002
9,2023-08-11,0.094
10,2023-08-14,0.023
11,2023-08-15,0.085
12,2023-08-16,0.034
13,2023-08-17,0.054
14,2023-08-18,0.037
15,2023-08-21,0.075
16,2023-08-22,0.066
17,2023-08-23,0.075
18,2023-08-24,0.113
19,2023-08-25,0.075
20,2023-08-28,0.079
21,2023-08-29,0.03
22,2023-08-30,0.041
23,2023-08-31,0.023
24,2023-09-01,0.024
25,2023-09-04,0.068
26,2023-09-05,0.091
27,2023-09-06,0.068
28,2023-09-07,0.071
29,2023-09-08,0.1
30,2023-09-11,0.103
31,2023-09-12,0.042
32,2023-09-13,0.043
33,2023-09-14,0.121
34,2023-09-15,0.038
35,2023-09-18,0.072
36,2023-09-19,0.036
37,2023-09-20,0.028
38,2023-09-21,0.039
39,2023-09-22,0.043
40,2023-09-25,0.115
41,2023-09-26,0.126
42,2023-09-27,0.086
43,2023-09-28,0.069
44,2023-09-29,0.074
45,2023-10-02,0.025
46,2023-10-03,0.096
47,2023-10-04,0.071
48,2023-10-05,0.069
49,2023-10-06,0.046
50,2023-10-09,-0.007
51,2023-10-10,0.086
52,2023-10-11,0.096
53,2023-10-12,0.084
54,2023-10-13,0.033
55,2023-10-16,0.064
56,2023-10-17,0.025
57,2023-10-18,0.042
58,2023-10-19,0.12
59,2023-10-20,0.08
