,일자,시장베이시스,이론베이시스,괴리율
0,2022-10-17,1.54,1.6,-0.02
1,2022-10-18,-0.22,1.52,-0.6
2,2022-10-19,0.91,1.53,-0.21
3,2022-10-20,0.01,1.52,-0.52
4,2022-10-21,-0.01,1.48,-0.51
5,2022-10-24,0.98,1.47,-0.17
6,2022-10-25,1.43,1.41,0.01
7,2022-10-26,0.87,1.38,-0.17
8,2022-10-27,0.85,1.36,-0.17
9,2022-10-28,0.83,1.36,-0.18
10,2022-10-31,0.74,1.31,-0.19
11,2022-11-01,1.12,1.24,-0.04
12,2022-11-02,0.02,1.22,-0.39
13,2022-11-03,0.58,1.19,-0.2
14,2022-11-04,0.39,1.15,-0.25
15,2022-11-07,1.07,1.13,-0.02
16,2022-11-08,1.13,1.04,0.03
17,2022-11-09,0.94,1.02,-0.03
18,2022-11-10,1.02,0.99,0.01
19,2022-11-11,0.32,0.95,-0.2
20,2022-11-14,1.86,0.95,0.28
21,2022-11-15,1.07,0.84,0.07
22,2022-11-16,0.69,0.81,-0.04
23,2022-11-17,0.99,0.77,0.07
24,2022-11-18,2.5,0.73,0.56
25,2022-11-21,0.33,0.69,-0.11
26,2022-11-22,-0.22,0.58,-0.25
27,2022-11-23,0.33,0.55,-0.07
28,2022-11-24,0.94,0.52,0.13
29,2022-11-25,0.75,0.5,0.08
30,2022-11-28,0.43,0.45,-0.01
31,2022-11-29,0.69,0.34,0.11
32,2022-11-30,0.12,0.31,-0.06
33,2022-12-01,-1.35,0.28,-0.51
34,2022-12-02,1.08,0.25,0.26
35,2022-12-05,-0.02,0.21,-0.07
36,2022-12-06,0.44,0.1,0.11
37,2022-12-07,0.01,0.07,-0.02
38,2022-12-08,-0.07,0.03,-0.03
39,2022-12-09,-0.64,,
40,2022-12-12,-0.98,-1.75,0.25
41,2022-12-13,-1.59,-1.87,0.09
42,2022-12-14,-1.26,-1.91,0.21
43,2022-12-15,-1.83,-1.91,0.03
44,2022-12-16,-1.58,-1.99,0.13
45,2022-12-19,-3.43,-2.03,-0.46
46,2022-12-20,-2.42,-2.14,-0.09
47,2022-12-21,-2.15,-2.19,0.01
48,2022-12-22,-2.23,-2.23,0.0
49,2022-12-23,-2.43,-2.23,-0.07
50,2022-12-26,-2.62,-2.31,-0.1
51,2022-12-27,-2.32,-2.41,0.03
52,2022-12-28,-1.92,-2.43,0.17
53,2022-12-29,1.36,2.3,-0.31
54,2023-01-02,1.75,2.22,-0.16
55,2023-01-03,1.46,2.09,-0.22
56,2023-01-04,1.37,2.05,-0.23
57,2023-01-05,1.02,2.06,-0.35
58,2023-01-06,0.58,2.04,-0.49
59,2023-01-09,1.72,2.03,-0.1
60,2023-01-10,1.81,1.96,-0.05
61,2023-01-11,1.33,1.93,-0.19
62,2023-01-12,1.62,1.89,-0.09
63,2023-01-13,2.6,1.84,0.24
64,2023-01-16,1.53,1.83,-0.1
65,2023-01-17,1.66,1.71,-0.02
66,2023-01-18,1.8,1.65,0.05
67,2023-01-19,1.79,1.59,0.06
68,2023-01-20,0.94,1.55,-0.19
69,2023-01-25,1.27,1.52,-0.08
70,2023-01-26,1.79,1.38,0.13
71,2023-01-27,1.08,1.37,-0.09
72,2023-01-30,0.77,1.34,-0.17
73,2023-01-31,1.18,1.22,-0.01
74,2023-02-01,1.39,1.17,0.07
75,2023-02-02,1.66,1.14,0.16
76,2023-02-03,1.17,1.1,0.02
77,2023-02-06,0.19,1.06,-0.27
78,2023-02-07,-0.03,0.94,-0.3
79,2023-02-08,0.75,0.91,-0.05
80,2023-02-09,0.72,0.9,-0.06
81,2023-02-10,-0.05,0.86,-0.28
82,2023-02-13,0.06,0.83,-0.24
83,2023-02-14,0.85,0.74,0.03
84,2023-02-15,1.38,0.71,0.21
85,2023-02-16,-0.59,0.67,-0.4
86,2023-02-17,0.0,0.65,-0.2
87,2023-02-20,0.77,0.62,0.05
88,2023-02-21,1.41,0.53,0.27
89,2023-02-22,0.44,0.5,-0.02
90,2023-02-23,0.26,0.46,-0.06
91,2023-02-24,0.66,0.44,0.07
92,2023-02-27,0.76,0.41,0.11
93,2023-02-28,0.06,0.31,-0.08
94,2023-03-02,1.0,0.28,0.23
95,2023-03-03,-0.96,0.22,-0.37
96,2023-03-06,0.44,0.19,0.08
97,2023-03-07,0.06,0.1,-0.01
98,2023-03-08,-0.4,0.06,-0.14
99,2023-03-09,-0.73,0.03,-0.24
100,2023-03-10,-0.09,,
101,2023-03-13,0.7,1.95,-0.4
102,2023-03-14,0.94,1.88,-0.3
103,2023-03-15,1.32,1.78,-0.15
104,2023-03-16,1.0,1.78,-0.25
105,2023-03-17,1.21,1.74,-0.17
106,2023-03-20,1.33,1.75,-0.13
107,2023-03-21,0.51,1.64,-0.36
108,2023-03-22,1.49,1.61,-0.04
109,2023-03-23,1.29,1.61,-0.1
110,2023-03-24,0.35,1.59,-0.39
111,2023-03-27,1.0,1.55,-0.17
112,2023-03-28,1.4,1.43,-0.01
113,2023-03-29,1.09,1.42,-0.1
114,2023-03-30,0.89,1.4,-0.16
115,2023-03-31,1.85,2.19,-0.11
116,2023-04-03,1.67,2.19,-0.16
117,2023-04-04,1.72,2.08,-0.11
118,2023-04-05,1.95,2.06,-0.03
119,2023-04-06,2.19,2.04,0.05
120,2023-04-07,1.93,1.97,-0.01
121,2023-04-10,1.49,1.97,-0.15
