,date,CD 변동률,CD 변화량
0,2022-10-17,0.0,0.0
1,2022-10-18,1.093,-0.04
2,2022-10-19,1.622,-0.06
3,2022-10-20,1.33,-0.05
4,2022-10-21,1.05,-0.04
5,2022-10-24,1.299,-0.05
6,2022-10-25,0.513,-0.02
7,2022-10-26,0.255,-0.01
8,2022-10-27,0.254,-0.01
9,2022-10-28,0.0,0.0
10,2022-10-31,0.254,-0.01
11,2022-11-01,0.253,-0.01
12,2022-11-02,0.253,-0.01
13,2022-11-03,0.0,0.0
14,2022-11-04,0.0,0.0
15,2022-11-07,0.0,0.0
16,2022-11-08,0.0,0.0
17,2022-11-09,0.0,0.0
18,2022-11-10,0.0,0.0
19,2022-11-11,0.0,0.0
20,2022-11-14,0.0,0.0
21,2022-11-15,0.0,0.0
22,2022-11-16,0.0,0.0
23,2022-11-17,0.0,0.0
24,2022-11-18,0.504,-0.02
25,2022-11-21,0.0,0.0
26,2022-11-22,0.501,-0.02
27,2022-11-23,0.249,-0.01
28,2022-11-24,0.0,0.0
29,2022-11-25,0.249,-0.01
30,2022-11-28,0.0,0.0
31,2022-11-29,0.0,0.0
32,2022-11-30,0.0,0.0
33,2022-12-01,0.0,0.0
34,2022-12-02,0.0,0.0
35,2022-12-05,0.0,0.0
36,2022-12-06,0.0,0.0
37,2022-12-07,0.0,0.0
38,2022-12-08,0.0,0.0
39,2022-12-09,0.0,0.0
40,2022-12-12,0.0,0.0
41,2022-12-13,0.0,0.0
42,2022-12-14,0.0,0.0
43,2022-12-15,0.0,0.0
44,2022-12-16,0.0,0.0
45,2022-12-19,0.0,0.0
46,2022-12-20,0.0,0.0
47,2022-12-21,0.0,0.0
48,2022-12-22,0.0,0.0
49,2022-12-23,0.0,0.0
50,2022-12-26,0.0,0.0
51,2022-12-27,0.0,0.0
52,2022-12-28,-1.241,0.05
53,2022-12-29,0.0,0.0
54,2022-12-30,0.0,0.0
55,2023-01-02,0.0,0.0
56,2023-01-03,0.0,0.0
57,2023-01-04,-0.503,0.02
58,2023-01-05,0.0,0.0
59,2023-01-06,0.0,0.0
60,2023-01-09,-1.01,0.04
61,2023-01-10,0.0,0.0
62,2023-01-11,-0.51,0.02
63,2023-01-12,-0.513,0.02
64,2023-01-13,-0.258,0.01
65,2023-01-16,0.258,-0.01
66,2023-01-17,-2.32,0.09
67,2023-01-18,-1.319,0.05
68,2023-01-19,-1.07,0.04
69,2023-01-20,-0.541,0.02
70,2023-01-25,-0.272,0.01
71,2023-01-26,-0.272,0.01
72,2023-01-27,-0.273,0.01
73,2023-01-30,-0.274,0.01
74,2023-01-31,-0.275,0.01
75,2023-02-01,0.0,0.0
76,2023-02-02,-1.102,0.04
77,2023-02-03,-1.95,0.07
78,2023-02-06,-0.852,0.03
79,2023-02-07,-0.573,0.02
80,2023-02-08,-0.288,0.01
81,2023-02-09,0.0,0.0
82,2023-02-10,0.0,0.0
83,2023-02-13,0.289,-0.01
