,날짜,변동 %,전날 변동율,전날 변화량
0,2022-10-17,-7.03,-3.438,0.86
1,2022-10-18,1.21,5.614,0.91
2,2022-10-19,-6.51,1.784,0.53
3,2022-10-20,-2.57,-2.607,1.05
4,2022-10-21,5.27,0.714,0.57
5,2022-10-24,0.29,-1.515,0.99
6,2022-10-25,4.03,1.789,0.84
7,2022-10-26,-4.63,1.23,0.55
8,2022-10-27,-1.8,2.046,0.52
9,2022-10-28,-0.9,-2.763,1.29
10,2022-10-31,2.02,2.199,0.52
11,2022-11-01,-3.16,1.774,0.82
12,2022-11-02,-3.97,0.41,0.71
13,2022-11-04,-0.73,1.957,0.6
14,2022-11-07,-1.42,1.458,0.7
15,2022-11-08,-2.27,3.333,0.57
16,2022-11-09,-2.56,-1.107,0.41
17,2022-11-10,1.61,-1.881,1.05
18,2022-11-11,4.02,9.481,0.89
19,2022-11-14,-6.45,2.06,0.33
20,2022-11-15,-2.17,1.274,0.86
21,2022-11-16,-5.03,-3.379,1.33
22,2022-11-17,1.54,1.322,0.6
23,2022-11-18,-3.44,-0.27,0.54
24,2022-11-21,-1.62,0.999,0.7
25,2022-11-22,-3.46,2.449,0.39
26,2022-11-24,-2.39,0.646,0.54
27,2022-11-25,2.1,-0.228,0.35
28,2022-11-28,-0.11,-4.997,0.59
29,2022-11-29,5.95,-2.01,0.58
30,2022-11-30,0.97,-0.9,0.39
31,2022-12-01,1.18,0.478,0.5
32,2022-12-02,-0.48,-0.842,1.36
33,2022-12-05,5.57,3.004,3.17
34,2022-12-06,-7.54,-2.389,4.89
35,2022-12-07,21.97,20.591,0.47
36,2022-12-08,-16.81,-0.321,0.75
37,2022-12-09,1.13,1.288,0.9
38,2022-12-12,-4.4,-5.103,0.38
39,2022-12-13,4.1,0.107,0.65
40,2022-12-14,0.91,5.925,1.03
41,2022-12-15,-9.71,2.886,0.66
42,2022-12-16,-4.68,-8.268,0.69
43,2022-12-19,8.89,-7.979,0.76
44,2022-12-20,6.25,0.909,7.44
45,2022-12-21,13.41,1.663,1.23
46,2022-12-22,-3.08,5.708,0.54
47,2022-12-23,-5.69,-4.632,0.71
48,2022-12-26,3.27,0.648,0.72
49,2022-12-27,-4.21,1.256,0.64
50,2022-12-28,1.19,-0.458,0.42
51,2022-12-29,-0.36,-2.107,0.5
52,2022-12-30,2.82,2.766,0.62
53,2023-01-04,-0.7,-1.19,0.47
54,2023-01-05,1.36,4.611,0.61
55,2023-01-06,-6.24,2.491,0.57
56,2023-01-10,-3.8,-0.871,0.51
57,2023-01-11,0.38,2.524,0.69
58,2023-01-12,-1.81,-1.428,0.92
59,2023-01-13,4.74,3.982,1.39
60,2023-01-16,-1.17,-3.78,0.81
61,2023-01-17,6.4,0.816,0.81
62,2023-01-18,-3.14,-3.817,4.03
63,2023-01-19,-8.41,-1.072,0.68
64,2023-01-20,2.11,-0.776,0.73
65,2023-01-23,-3.02,0.579,0.35
66,2023-01-24,0.92,-0.398,0.5
67,2023-01-25,0.91,0.511,0.3
68,2023-01-26,-1.02,-0.455,0.54
69,2023-01-27,-1.26,-0.461,0.46
70,2023-01-30,-1.68,-3.079,0.71
71,2023-01-31,-0.18,-1.509,0.51
72,2023-02-01,1.0,1.061,0.84
73,2023-02-02,2.39,5.978,0.55
74,2023-02-03,-6.21,0.55,0.46
75,2023-02-06,-1.03,-1.153,0.63
76,2023-02-07,1.78,0.424,0.4
77,2023-02-08,-0.12,1.657,0.69
78,2023-02-09,-3.86,-3.222,0.72
79,2023-02-10,0.75,-0.62,0.73
80,2023-02-13,1.12,-5.091,0.88
81,2023-02-14,1.79,2.166,0.55
82,2023-02-15,-3.03,4.984,0.47
83,2023-02-16,-5.43,1.747,0.48
84,2023-02-17,-2.84,-4.604,0.58
85,2023-02-20,4.69,-2.962,0.4
86,2023-02-21,1.75,-2.063,0.69
87,2023-02-22,4.15,-4.0,1.24
88,2023-02-24,7.23,0.981,1.08
89,2023-02-27,-5.2,-4.104,0.66
90,2023-02-28,0.9,2.448,0.37
91,2023-03-01,-2.03,1.297,0.45
92,2023-03-02,-3.78,-0.19,0.62
93,2023-03-03,0.7,0.252,0.81
94,2023-03-06,1.89,2.081,0.91
95,2023-03-07,2.53,1.096,0.54
96,2023-03-08,-0.42,-2.363,0.52
97,2023-03-09,4.78,-2.751,0.53
98,2023-03-10,3.58,-2.394,2.45
99,2023-03-13,-0.28,-1.595,1.42
100,2023-03-14,4.02,-13.321,1.17
101,2023-03-15,15.64,10.077,1.12
102,2023-03-16,-9.76,-15.931,1.89
103,2023-03-17,11.07,7.42,1.07
104,2023-03-20,-9.83,-8.125,2.49
105,2023-03-22,17.22,11.655,0.71
106,2023-03-23,-10.18,0.098,1.16
107,2023-03-24,-4.25,0.926,1.0
108,2023-03-27,-2.7,-2.802,0.86
109,2023-03-28,-0.37,3.597,0.48
110,2023-03-29,-4.89,1.402,0.83
111,2023-03-30,-3.87,1.756,0.63
112,2023-03-31,-3.39,0.299,0.49
113,2023-04-03,-0.77,-2.459,0.42
114,2023-04-04,2.52,1.97,0.42
115,2023-04-05,-3.1,-1.488,1.23
116,2023-04-06,6.47,-0.339,0.89
117,2023-04-07,0.57,1.257,0.46
118,2023-04-10,-2.37,0.698,0.47
119,2023-04-11,-0.92,2.758,0.74
120,2023-04-12,-1.4,-0.118,0.27
121,2023-04-13,-0.77,-1.411,0.65
122,2023-04-14,-1.67,-1.493,0.38
123,2023-04-17,0.67,-1.717,0.69
124,2023-04-18,-1.45,1.05,0.29
125,2023-04-19,-1.59,-0.31,0.28
126,2023-04-20,-0.37,-1.896,0.58
