,날짜,변동 %,당일 변동률,당일 변화량
0,2022-10-17,-3.08,-3.923,457.87
1,2022-10-18,3.43,0.947,126.9
2,2022-10-19,0.9,-1.747,302.85
3,2022-10-20,-0.85,-0.082,215.16
4,2022-10-21,-0.61,-0.399,262.75
5,2022-10-24,2.31,2.682,333.29
6,2022-10-25,0.86,0.787,270.19
7,2022-10-26,2.25,1.838,213.41
8,2022-10-27,-2.04,0.018,257.46
9,2022-10-28,-1.63,-1.634,218.23
10,2022-10-31,2.87,3.123,350.84
11,2022-11-01,-1.03,-0.365,133.94
12,2022-11-02,-0.89,-2.366,275.16
13,2022-11-03,-3.36,-3.309,470.34
14,2022-11-04,-1.73,-0.543,166.47
15,2022-11-07,1.28,-0.691,290.7
16,2022-11-08,0.85,0.452,159.05
17,2022-11-09,0.49,0.044,272.91
18,2022-11-10,-2.48,-1.665,220.96
19,2022-11-11,7.35,2.254,339.17
20,2022-11-14,1.88,1.785,282.6
21,2022-11-15,-1.12,-0.335,182.96
22,2022-11-16,1.45,-1.014,251.47
23,2022-11-17,-1.54,-0.679,123.18
24,2022-11-18,-0.35,1.238,192.63
25,2022-11-21,0.01,-0.986,200.28
26,2022-11-22,-1.09,-0.6,129.03
27,2022-11-23,1.36,1.048,204.21
28,2022-11-25,0.99,0.991,136.21
29,2022-11-28,-0.52,-0.041,55.19
30,2022-11-29,-1.58,-0.88,197.06
31,2022-11-30,-0.59,-0.689,141.65
32,2022-12-01,4.41,4.3,501.94
33,2022-12-02,0.13,0.063,168.02
34,2022-12-05,-0.18,1.354,195.6
35,2022-12-06,-1.93,-1.239,232.48
36,2022-12-07,-2.0,-1.902,285.22
37,2022-12-08,-0.51,-0.049,129.19
38,2022-12-09,1.13,0.642,179.69
39,2022-12-12,-0.7,-0.304,139.44
40,2022-12-13,1.26,1.164,159.85
41,2022-12-14,1.01,-2.478,411.1
42,2022-12-15,-0.76,-0.686,286.85
43,2022-12-16,-3.23,-1.835,253.96
44,2022-12-19,-0.97,-0.578,191.14
45,2022-12-20,-1.49,-1.507,216.42
46,2022-12-21,0.01,0.536,162.64
47,2022-12-22,1.54,1.108,184.37
48,2022-12-23,-2.18,-1.042,286.02
49,2022-12-27,0.21,0.576,152.94
50,2022-12-28,-1.38,-1.041,131.59
51,2022-12-29,-1.35,-1.218,207.35
52,2022-12-30,2.59,1.518,201.02
53,2023-01-03,-0.11,0.946,143.61
54,2023-01-04,-0.76,-1.658,303.9
55,2023-01-05,0.69,-0.087,177.58
56,2023-01-06,-1.47,-0.819,97.97
57,2023-01-09,2.56,1.981,339.1
58,2023-01-10,0.63,-0.248,188.14
59,2023-01-11,1.01,1.272,154.08
60,2023-01-12,1.76,1.266,169.71
61,2023-01-13,0.64,0.29,230.63
62,2023-01-17,0.71,1.584,183.85
63,2023-01-18,0.14,0.227,120.72
64,2023-01-19,-1.24,-1.915,271.36
65,2023-01-20,-0.96,-0.35,127.95
66,2023-01-23,2.66,1.975,257.53
67,2023-01-24,2.01,1.723,261.47
68,2023-01-25,-0.27,0.277,95.5
69,2023-01-26,-0.18,1.497,265.05
70,2023-01-27,1.76,0.471,174.86
71,2023-01-30,0.95,1.319,221.62
72,2023-01-31,-1.96,-1.03,164.77
73,2023-02-01,1.67,1.632,187.64
74,2023-02-02,2.0,2.101,403.69
75,2023-02-03,3.25,1.124,245.41
76,2023-02-06,-1.59,0.503,284.45
77,2023-02-07,-1.0,-0.142,129.92
78,2023-02-08,1.9,1.871,313.44
79,2023-02-09,-1.68,-1.314,206.3
80,2023-02-10,-1.02,-2.316,325.85
81,2023-02-13,-0.61,0.03,145.26
82,2023-02-14,1.48,1.128,191.19
83,2023-02-15,0.57,1.287,239.28
84,2023-02-16,0.92,1.39,194.47
85,2023-02-17,-1.78,-0.34,186.98
86,2023-02-21,-0.58,0.083,130.01
87,2023-02-22,-2.5,-1.272,192.96
88,2023-02-23,0.13,-0.088,137.35
89,2023-02-24,0.72,-0.4,206.39
90,2023-02-27,-1.69,-0.081,99.9
91,2023-02-28,0.63,-0.436,120.63
92,2023-03-01,-0.1,0.039,112.83
93,2023-03-02,-0.66,-0.595,129.13
94,2023-03-03,0.73,1.678,213.98
95,2023-03-06,1.97,1.426,184.89
96,2023-03-07,-0.11,-0.521,160.44
97,2023-03-08,-1.25,-1.205,193.93
98,2023-03-09,0.4,0.198,113.48
99,2023-03-10,-2.05,-2.072,347.14
100,2023-03-13,-1.76,-1.646,279.95
101,2023-03-14,0.45,1.335,343.93
102,2023-03-15,2.14,0.62,182.08
103,2023-03-16,0.05,1.265,209.46
104,2023-03-17,2.48,2.92,368.31
105,2023-03-20,-0.74,-0.563,210.48
106,2023-03-21,0.39,0.527,144.86
107,2023-03-22,1.58,0.81,154.25
108,2023-03-23,-1.6,-1.582,347.14
109,2023-03-24,1.01,-0.203,278.17
110,2023-03-27,0.31,0.65,155.56
111,2023-03-28,-0.47,-0.84,164.16
112,2023-03-29,-0.45,-0.312,117.73
113,2023-03-30,1.79,0.596,118.24
114,2023-03-31,0.73,0.025,91.42
115,2023-04-03,1.74,1.582,197.49
116,2023-04-04,-0.27,0.357,109.82
117,2023-04-05,-0.52,-0.673,142.87
118,2023-04-06,-1.07,-0.703,154.91
119,2023-04-10,0.76,1.247,200.14
120,2023-04-11,-0.03,0.912,160.75
121,2023-04-12,-0.43,-0.4,79.87
122,2023-04-13,-0.85,-1.499,217.96
123,2023-04-14,1.99,1.407,182.86
124,2023-04-17,-0.35,0.046,179.17
125,2023-04-18,0.28,0.409,94.92
126,2023-04-19,-0.04,-0.663,135.2
127,2023-04-20,0.03,0.775,130.93
128,2023-04-21,-0.8,0.17,144.01
129,2023-04-24,0.11,0.219,110.33
130,2023-04-25,-0.29,-0.135,143.28
131,2023-04-26,-1.98,-1.417,191.69
132,2023-04-27,0.47,-0.494,134.92
133,2023-04-28,2.43,1.421,203.09
134,2023-05-01,0.69,0.9,145.15
135,2023-05-02,-0.11,0.021,80.24
136,2023-05-03,-1.08,-0.963,191.36
137,2023-05-04,-0.46,-0.593,190.09
138,2023-05-05,-0.49,-0.258,107.78
139,2023-05-08,2.25,1.345,199.11
140,2023-05-09,0.18,0.206,86.73
141,2023-05-10,-0.63,-0.133,42.07
142,2023-05-11,1.04,0.161,156.83
143,2023-05-12,0.18,0.059,91.94
144,2023-05-15,-0.35,-0.533,155.07
145,2023-05-16,0.66,0.521,113.05
146,2023-05-17,-0.18,0.13,79.29
147,2023-05-18,1.28,0.904,179.05
148,2023-05-19,1.51,1.398,186.24
149,2023-05-22,-0.24,-0.406,107.67
150,2023-05-23,0.5,0.445,100.96
151,2023-05-24,-1.26,-0.732,155.31
152,2023-05-25,-0.61,0.018,113.78
153,2023-05-26,1.71,-0.066,132.03
154,2023-05-30,2.19,1.879,272.17
155,2023-05-31,0.32,-0.699,186.17
156,2023-06-01,-0.63,-0.255,139.71
157,2023-06-02,1.28,1.209,238.2
158,2023-06-05,1.07,0.381,130.35
159,2023-06-06,-0.09,-0.068,135.7
160,2023-06-07,0.36,0.582,140.56
161,2023-06-08,-1.29,-1.432,272.42
162,2023-06-09,1.02,0.955,147.42
163,2023-06-12,0.16,-0.4,156.62
164,2023-06-13,1.53,1.017,163.33
165,2023-06-14,0.83,0.05,121.21
166,2023-06-15,0.39,0.412,205.75
167,2023-06-16,1.15,1.547,266.8
168,2023-06-20,-0.68,-1.223,183.1
169,2023-06-21,-0.16,0.183,149.34
170,2023-06-22,-1.21,-0.871,177.63
171,2023-06-23,0.95,1.393,190.29
172,2023-06-26,-1.01,0.062,129.53
173,2023-06-27,-1.16,-0.987,239.15
174,2023-06-28,1.65,1.243,211.83
175,2023-06-29,0.27,0.635,158.41
176,2023-06-30,0.0,-0.008,78.27
177,2023-07-03,1.45,0.495,100.51
178,2023-07-05,0.21,0.131,65.68
179,2023-07-06,-0.18,0.142,80.25
180,2023-07-07,-0.82,0.189,122.27
181,2023-07-10,-0.13,-0.054,147.77
182,2023-07-11,0.18,0.294,107.54
183,2023-07-12,0.55,0.371,131.51
184,2023-07-13,1.15,0.024,121.32
185,2023-07-14,1.58,0.837,151.56
186,2023-07-17,-0.18,-0.374,150.15
187,2023-07-18,0.93,0.672,136.41
188,2023-07-19,0.76,0.995,220.58
189,2023-07-20,0.03,-0.281,129.46
190,2023-07-21,-2.05,-1.471,279.29
191,2023-07-24,-0.22,-0.815,158.56
192,2023-07-25,0.19,-0.162,113.02
193,2023-07-26,0.61,0.364,109.39
194,2023-07-27,-0.12,0.027,145.4
195,2023-07-28,-0.55,-1.879,353.28
196,2023-07-31,1.9,0.823,156.25
197,2023-08-01,0.21,0.057,78.16
198,2023-08-02,-0.43,0.063,93.57
199,2023-08-03,-2.17,-1.127,219.04
200,2023-08-04,-0.1,0.431,150.93
201,2023-08-07,-0.36,-0.832,221.29
202,2023-08-08,0.61,0.157,132.23
203,2023-08-09,-0.79,0.064,130.4
204,2023-08-10,-1.17,-1.263,200.15
205,2023-08-11,0.12,-0.581,260.65
206,2023-08-14,-0.68,0.082,110.35
207,2023-08-15,1.05,1.392,206.67
208,2023-08-16,-1.14,-0.941,163.05
209,2023-08-17,-1.15,-0.872,171.29
210,2023-08-18,-1.17,-1.555,231.64
211,2023-08-21,-0.2,0.764,174.11
212,2023-08-22,1.56,1.126,191.27
213,2023-08-23,0.06,-0.648,114.38
214,2023-08-24,1.59,1.394,224.57
215,2023-08-25,-1.87,-2.677,371.84
216,2023-08-28,0.94,0.564,257.08
217,2023-08-29,0.84,0.071,109.34
218,2023-08-30,1.74,1.874,282.75
219,2023-08-31,0.54,0.412,126.62
220,2023-09-01,0.11,-0.047,104.19
221,2023-09-05,-0.02,-0.695,167.2
222,2023-09-06,-0.08,0.189,115.2
223,2023-09-07,-1.06,-0.832,199.53
224,2023-09-08,-0.89,0.539,132.16
225,2023-09-11,0.09,0.05,110.19
226,2023-09-12,1.14,0.244,132.33
227,2023-09-13,-1.04,-0.616,149.91
228,2023-09-14,0.29,0.29,134.75
229,2023-09-15,0.81,0.261,146.91
230,2023-09-18,-1.56,-1.302,211.51
231,2023-09-19,0.01,0.295,87.82
232,2023-09-20,-0.23,0.211,126.28
233,2023-09-21,-1.53,-1.759,260.53
234,2023-09-22,-1.82,-0.781,139.67
235,2023-09-25,-0.09,-0.567,152.58
236,2023-09-26,0.45,0.75,145.83
237,2023-09-27,-1.57,-0.89,165.73
238,2023-09-28,0.22,-0.172,193.21
239,2023-09-29,0.83,1.211,245.86
240,2023-10-02,0.14,-0.888,205.89
241,2023-10-03,0.67,0.679,159.95
242,2023-10-04,-1.87,-1.287,271.44
243,2023-10-05,1.35,1.093,186.25
244,2023-10-06,-0.12,-0.063,163.61
245,2023-10-09,1.6,2.313,373.24
246,2023-10-10,0.39,1.186,231.82
247,2023-10-11,0.58,0.422,167.82
248,2023-10-12,0.71,0.297,121.82
249,2023-10-13,-0.63,-0.719,222.58
250,2023-10-16,-1.23,-1.516,257.69
251,2023-10-17,1.2,0.849,150.88
252,2023-10-18,-0.25,0.849,237.51
253,2023-10-19,-1.62,-0.933,224.44
254,2023-10-20,-0.96,-1.263,247.4
