,날짜,야간 변동률
0,2022-10-17,0.14
1,2022-10-18,0.068
2,2022-10-19,0.022
3,2022-10-20,0.02
4,2022-10-21,0.027
5,2022-10-24,0.191
6,2022-10-25,0.021
7,2022-10-26,0.024
8,2022-10-27,0.023
9,2022-10-28,0.031
10,2022-10-31,0.027
11,2022-11-01,0.084
12,2022-11-02,0.025
13,2022-11-03,0.885
14,2022-11-04,0.025
15,2022-11-07,0.606
16,2022-11-08,0.071
17,2022-11-09,0.001
18,2022-11-10,0.012
19,2022-11-11,0.024
20,2022-11-14,0.442
21,2022-11-15,0.03
22,2022-11-16,0.027
23,2022-11-17,0.026
24,2022-11-18,0.025
25,2022-11-21,0.137
26,2022-11-22,0.023
27,2022-11-23,0.027
28,2022-11-24,0.018
29,2022-11-25,0.101
30,2022-11-28,0.11
31,2022-11-29,0.133
32,2022-11-30,0.023
33,2022-12-01,0.005
34,2022-12-02,0.025
35,2022-12-05,0.099
36,2022-12-06,0.018
37,2022-12-07,0.026
38,2022-12-08,0.03
39,2022-12-09,0.075
40,2022-12-12,0.006
41,2022-12-13,0.076
42,2022-12-14,0.034
43,2022-12-15,0.038
44,2022-12-16,0.076
45,2022-12-19,0.159
46,2022-12-20,0.028
47,2022-12-21,0.027
48,2022-12-22,0.091
49,2022-12-23,0.023
50,2022-12-26,0.02
51,2022-12-27,0.078
52,2022-12-28,0.036
53,2022-12-29,0.027
54,2022-12-30,0.031
55,2023-01-02,0.082
56,2023-01-03,0.071
57,2023-01-04,0.038
58,2023-01-05,0.032
59,2023-01-06,0.025
60,2023-01-09,0.08
61,2023-01-10,0.033
62,2023-01-11,0.034
63,2023-01-12,-0.007
64,2023-01-13,0.031
65,2023-01-16,-0.013
66,2023-01-17,0.03
67,2023-01-18,0.002
68,2023-01-19,0.034
69,2023-01-20,0.034
70,2023-01-23,0.121
71,2023-01-24,0.033
72,2023-01-25,0.033
73,2023-01-26,0.032
74,2023-01-27,0.034
75,2023-01-30,0.047
76,2023-01-31,0.034
77,2023-02-01,0.034
78,2023-02-02,-0.002
79,2023-02-03,0.033
80,2023-02-06,-0.009
81,2023-02-07,0.097
82,2023-02-08,0.01
83,2023-02-09,0.033
84,2023-02-10,0.034
85,2023-02-13,-0.095
86,2023-02-14,0.033
87,2023-02-15,0.005
88,2023-02-16,0.034
89,2023-02-17,0.033
90,2023-02-20,0.13
91,2023-02-21,0.029
92,2023-02-22,0.031
93,2023-02-23,0.031
94,2023-02-24,0.011
95,2023-02-27,0.008
96,2023-02-28,0.076
97,2023-03-01,0.032
98,2023-03-02,0.032
99,2023-03-03,0.032
100,2023-03-06,-0.126
101,2023-03-07,0.076
102,2023-03-08,0.002
103,2023-03-09,0.03
104,2023-03-10,0.023
105,2023-03-13,-0.086
106,2023-03-14,0.028
107,2023-03-15,0.03
108,2023-03-16,0.026
109,2023-03-17,0.076
110,2023-03-20,0.056
111,2023-03-21,-0.038
112,2023-03-22,0.031
113,2023-03-23,-0.021
114,2023-03-24,0.034
115,2023-03-27,0.045
116,2023-03-28,0.033
117,2023-03-29,0.032
118,2023-03-30,0.14
119,2023-03-31,0.032
120,2023-04-03,0.028
121,2023-04-04,0.014
122,2023-04-05,0.035
123,2023-04-06,0.024
124,2023-04-07,0.037
125,2023-04-10,0.007
126,2023-04-11,0.028
127,2023-04-12,0.032
128,2023-04-13,0.033
129,2023-04-14,0.061
130,2023-04-17,0.029
131,2023-04-18,0.03
132,2023-04-19,0.032
133,2023-04-20,0.032
134,2023-04-21,0.032
135,2023-04-24,0.077
136,2023-04-25,0.032
137,2023-04-26,0.031
138,2023-04-27,0.032
139,2023-04-28,0.03
140,2023-05-01,0.029
141,2023-05-02,0.066
142,2023-05-03,0.032
143,2023-05-04,0.073
144,2023-05-05,0.024
145,2023-05-08,0.037
146,2023-05-09,0.092
147,2023-05-10,0.031
148,2023-05-11,0.034
149,2023-05-12,0.023
150,2023-05-15,0.005
151,2023-05-16,0.032
152,2023-05-17,0.032
153,2023-05-18,0.036
154,2023-05-19,-0.033
155,2023-05-22,0.001
156,2023-05-23,0.032
157,2023-05-24,0.08
158,2023-05-25,0.026
159,2023-05-26,0.001
160,2023-05-29,0.058
161,2023-05-30,0.067
162,2023-05-31,0.03
163,2023-06-01,0.134
164,2023-06-02,0.041
165,2023-06-05,0.011
166,2023-06-06,0.023
167,2023-06-07,0.032
168,2023-06-08,0.031
169,2023-06-09,0.086
170,2023-06-12,0.029
171,2023-06-13,0.025
172,2023-06-14,0.025
173,2023-06-15,0.03
174,2023-06-16,0.031
175,2023-06-19,0.085
176,2023-06-20,0.078
177,2023-06-21,0.04
178,2023-06-22,0.032
179,2023-06-23,0.032
180,2023-06-26,0.025
