,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 전날변동율,kospi 야간변동율,ks200 전날변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,nas 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,snp 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,VKOSPI_Label
2022-10-17,1.54,1.6,-0.02,0.16,0.304,2.3,-1.147,2.4,-1.199,-3.08,-3.923,457.87,0.94,-70.685,-68.561,-1627170.0,-1387942.0,-2.37,-2.909,132.32,0.14,0.25,0.408,1.84,0.0
2022-10-18,-0.22,1.52,-0.6,0.08,0.057,0.32,1.326,0.07,1.302,3.43,0.947,126.9,0.98,-0.838,3.172,-5652.0,20191.0,2.65,1.08,51.08,0.068,-2.03,-2.789,1.89,0.0
2022-10-19,0.91,1.53,-0.21,0.045,0.025,1.36,-0.027,1.39,-0.061,0.9,-1.747,302.85,1.12,14.585,30.886,97599.0,202811.0,1.14,-0.701,76.26,0.022,-2.77,-1.929,1.51,1.0
2022-10-20,0.01,1.52,-0.52,0.03,0.027,-0.56,-0.532,-0.78,-0.673,-0.85,-0.082,215.16,1.05,2.161,-4.297,16572.0,-36928.0,-0.67,-0.215,62.07,0.02,0.85,-0.582,1.14,1.0
2022-10-21,-0.01,1.48,-0.51,0.081,0.027,-0.86,-0.338,-0.92,-0.322,-0.61,-0.399,262.75,1.06,9.963,10.593,78044.0,87134.0,-0.8,-0.631,79.56,0.027,-2.54,-4.217,1.56,0.0
2022-10-24,0.98,1.47,-0.17,0.244,0.126,-0.22,1.588,-0.01,1.743,2.31,2.682,333.29,0.82,-20.338,-38.156,-175197.0,-347095.0,2.37,2.615,110.47,0.191,-0.97,-1.721,1.2,1.0
2022-10-25,1.43,1.41,0.01,0.025,0.032,1.04,0.039,1.0,-0.062,0.86,0.787,270.19,1.25,3.677,57.975,25235.0,326149.0,1.19,0.939,69.09,0.021,0.54,-2.61,1.17,0.0
2022-10-26,0.87,1.38,-0.17,0.031,0.048,-0.05,0.252,0.04,0.216,2.25,1.838,213.41,1.25,15.004,14.902,106746.0,132433.0,1.63,1.57,63.41,0.024,-4.66,-4.497,1.78,0.0
2022-10-27,0.85,1.36,-0.17,0.051,0.034,0.65,0.734,0.78,0.681,-2.04,0.018,257.46,1.13,-0.054,-9.665,-443.0,-98694.0,-0.74,0.121,62.08,0.023,-4.15,-4.079,1.25,0.0
2022-10-28,0.83,1.36,-0.18,0.097,0.041,1.74,-0.526,1.69,-0.676,-1.63,-1.634,218.23,1.03,18.981,8.434,155216.0,77798.0,-0.61,-0.714,56.16,0.031,0.4,-0.436,0.73,1.0
2022-10-31,0.74,1.31,-0.19,0.061,-0.169,-0.89,1.118,-1.26,1.203,2.87,3.123,350.84,1.02,-10.447,-11.146,-101645.0,-111489.0,2.46,2.437,97.16,0.027,-5.99,-6.125,1.84,0.0
2022-11-01,1.12,1.24,-0.04,0.102,0.1,1.11,0.347,1.53,0.317,-1.03,-0.365,133.94,1.08,8.382,14.729,73031.0,130905.0,-0.75,-0.254,30.55,0.084,0.5,-3.828,1.23,0.0
2022-11-02,0.02,1.22,-0.39,0.087,0.042,1.81,-0.393,1.44,-0.457,-0.89,-2.366,275.16,1.04,15.127,11.417,142848.0,116416.0,-0.41,-1.171,67.99,0.025,-0.27,-0.578,0.69,0.0
2022-11-03,0.58,1.19,-0.2,0.893,0.121,0.07,-1.687,0.0,-1.751,-3.36,-3.309,470.34,0.98,-13.495,-18.778,-146716.0,-213332.0,-2.5,-2.419,135.76,0.885,0.19,-0.691,1.23,0.0
2022-11-04,0.39,1.15,-0.25,0.046,0.028,-0.33,-0.143,-0.73,-0.166,-1.73,-0.543,166.47,0.85,73.693,50.805,693070.0,468809.0,-1.06,-0.358,52.44,0.025,-2.17,-2.617,1.77,0.0
2022-11-07,1.07,1.13,-0.02,0.64,-0.298,0.83,0.502,0.89,0.575,1.28,-0.691,290.7,0.93,13.226,24.227,216046.0,337128.0,1.36,0.095,87.5,0.606,-2.96,-4.214,1.71,0.0
2022-11-08,1.13,1.04,0.03,0.114,0.081,0.99,0.65,1.16,0.718,0.85,0.452,159.05,0.94,19.035,19.203,352063.0,331968.0,0.96,0.69,49.25,0.071,-0.81,-5.142,1.33,0.0
2022-11-09,0.94,1.02,-0.03,0.011,0.011,1.15,0.396,1.34,0.445,0.49,0.044,272.91,0.95,-3.453,-1.741,-76031.0,-35885.0,0.56,0.291,73.12,0.001,4.89,3.359,1.92,1.0
2022-11-10,1.02,0.99,0.01,0.032,0.014,1.06,-0.769,1.03,-0.825,-2.48,-1.665,220.96,0.98,13.0,15.802,276341.0,319949.0,-2.08,-1.637,73.98,0.012,2.15,2.96,1.33,1.0
2022-11-11,0.32,0.95,-0.2,0.064,0.042,-0.91,2.692,-1.3,3.002,7.35,2.254,339.17,0.91,15.533,7.407,373097.0,173667.0,5.54,2.5,98.44,0.024,-9.81,-11.241,3.75,0.0
2022-11-14,1.86,0.95,0.28,0.465,0.231,3.37,0.081,3.84,0.099,1.88,1.785,282.6,1.03,-66.712,-62.128,-1851294.0,-1564614.0,0.92,0.737,56.66,0.442,-4.29,-5.735,1.54,0.0
2022-11-15,1.07,0.84,0.07,0.075,0.034,-0.34,0.328,-0.48,0.383,-1.12,-0.335,182.96,0.93,-5.379,-14.722,-49686.0,-140412.0,-0.89,-0.521,52.57,0.03,5.37,-1.084,1.47,0.0
2022-11-16,0.69,0.81,-0.04,0.037,0.052,0.23,0.269,0.24,0.208,1.45,-1.014,251.47,1.06,-24.341,-14.036,-212758.0,-114162.0,0.87,-0.366,75.67,0.027,3.41,3.239,3.04,0.0
2022-11-17,0.99,0.77,0.07,0.08,0.03,-0.12,-0.442,-0.11,-0.615,-1.54,-0.679,123.18,1.26,45.821,73.416,303027.0,513324.0,-0.83,-0.453,28.75,0.026,-1.75,-0.741,0.73,1.0
2022-11-18,2.5,0.73,0.56,0.043,0.036,-1.39,0.214,-1.62,0.278,-0.35,1.238,192.63,1.18,-33.859,-37.95,-326520.0,-460149.0,-0.31,0.697,47.79,0.025,-0.75,-0.499,1.37,0.0
2022-11-21,0.33,0.69,-0.11,0.143,0.084,0.06,0.064,0.12,0.032,0.01,-0.986,200.28,0.93,24.853,-1.405,158524.0,-10569.0,0.48,-0.026,43.91,0.137,-3.38,-3.787,1.14,0.0
2022-11-22,-0.22,0.58,-0.25,0.042,0.026,-1.02,-0.56,-0.77,-0.569,-1.09,-0.6,129.03,0.84,-15.578,-23.737,-124056.0,-176084.0,-0.39,-0.159,28.66,0.023,-3.29,-7.027,1.82,0.0
2022-11-23,0.33,0.55,-0.07,0.042,0.038,-0.59,0.794,-0.84,0.904,1.36,1.048,204.21,0.92,-6.652,2.3,-44721.0,13014.0,1.36,0.96,49.0,0.027,-4.79,-5.755,1.43,0.0
2022-11-24,0.94,0.52,0.13,0.054,0.029,0.53,0.806,0.67,0.793,1.36,1.048,204.21,0.87,0.694,-4.97,4358.0,-28763.0,1.36,0.96,49.0,0.018,-4.42,-5.305,1.46,0.0
2022-11-25,0.75,0.5,0.08,0.124,0.115,0.96,0.036,1.02,-0.006,0.99,0.991,136.21,1.25,-3.207,39.298,-20267.0,216127.0,0.59,0.674,35.12,0.101,0.34,-0.39,0.23,0.0
2022-11-28,0.43,0.45,-0.01,0.129,-0.067,-0.14,-0.525,-0.39,-0.69,-0.52,-0.041,55.19,1.16,-8.495,-15.11,-51962.0,-115757.0,-0.03,0.069,13.26,0.11,0.39,-0.534,0.65,0.0
2022-11-29,0.69,0.34,0.11,0.145,0.143,-1.21,-0.113,-1.22,-0.135,-1.58,-0.88,197.06,1.01,41.427,22.917,231871.0,149042.0,-1.54,-1.034,56.5,0.133,8.34,0.543,0.85,0.0
