date,basis,basis_risk,basis_disparate_ratio
2023-07-31,3.13,-0.43,0.904
2023-08-01,3.56,-0.43,1.019
2023-08-02,3.49,-0.07,1.0
2023-08-03,2.09,-1.4,0.607
2023-08-04,3.31,1.22,0.969
2023-08-07,2.26,1.05,0.66
2023-08-08,1.2,-1.06,0.352
2023-08-09,2.56,-0.84,0.751
2023-08-10,2.41,-0.15,0.709
2023-08-11,3.12,-0.71,0.915
2023-08-14,2.25,-0.87,0.667
2023-08-16,2.01,-0.24,0.605
2023-08-17,2.28,0.27,0.697
2023-08-18,1.97,0.31,0.598
2023-08-21,1.69,0.28,0.511
2023-08-22,1.31,0.38,0.395
2023-08-23,2.43,1.12,0.738
2023-08-24,1.59,0.84,0.478
2023-08-25,1.47,-0.12,0.445
2023-08-28,1.52,-0.05,0.458
2023-08-29,2.0,-0.48,0.601
2023-08-30,1.64,0.36,0.487
2023-08-31,1.5,-0.14,0.448
2023-09-01,2.18,-0.68,0.648
2023-09-04,1.24,0.94,0.366
2023-09-05,1.83,-0.59,0.539
2023-09-06,1.35,-0.42,0.397
2023-09-07,1.66,0.31,0.494
2023-09-08,1.81,0.15,0.54
2023-09-11,2.26,-0.45,0.673
2023-09-12,1.45,0.81,0.431
2023-09-13,1.45,0.0,0.43
2023-09-14,1.92,-0.47,0.569
2023-09-15,2.4,-0.48,0.699
2023-09-18,2.0,-0.4,0.584
2023-09-19,1.41,-0.59,0.414
2023-09-20,1.47,0.06,0.434
2023-09-21,1.27,-0.2,0.379
2023-09-22,0.8,-0.47,0.242
2023-09-25,1.2,-0.4,0.361
2023-09-26,1.63,0.43,0.498
2023-09-27,2.44,0.81,0.75
2023-10-04,0.27,-2.17,0.084
2023-10-05,1.91,-0.56,0.598
2023-10-06,1.07,0.34,0.334
2023-10-10,1.2,-0.13,0.371
2023-10-11,1.89,-0.69,0.581
2023-10-12,1.03,0.86,0.314
2023-10-13,1.48,0.45,0.453
2023-10-16,1.84,0.36,0.568
2023-10-17,1.45,0.39,0.445
2023-10-18,1.54,-0.09,0.47
2023-10-19,0.99,-0.55,0.305
2023-10-20,0.91,-0.08,0.287
