,date,cny_yesterday_change,cny_night_change
0,2023-07-31,0.346,-0.824
1,2023-08-01,0.534,-0.908
2,2023-08-02,0.304,-0.883
3,2023-08-03,0.248,-0.638
4,2023-08-04,-0.093,-0.176
5,2023-08-07,0.302,-0.274
6,2023-08-08,-0.219,-0.132
7,2023-08-09,0.154,0.038
8,2023-08-10,0.619,-0.882
9,2023-08-11,0.218,-0.874
10,2023-08-14,0.109,0.044
11,2023-08-16,-0.114,-0.06
12,2023-08-17,0.071,0.0
13,2023-08-18,-0.179,0.011
14,2023-08-21,-0.125,0.218
15,2023-08-22,-0.881,0.922
16,2023-08-23,-0.066,0.817
17,2023-08-24,-0.526,0.507
18,2023-08-25,-0.072,0.507
19,2023-08-28,-0.341,0.381
20,2023-08-29,0.293,-0.006
21,2023-08-30,0.457,-0.783
22,2023-08-31,-0.646,0.16
23,2023-09-01,-0.231,0.8
24,2023-09-04,0.364,-0.198
25,2023-09-05,0.082,-0.521
26,2023-09-06,-0.252,0.082
27,2023-09-07,-0.203,0.347
28,2023-09-08,-0.082,0.171
29,2023-09-11,-0.038,0.06
30,2023-09-12,0.264,-0.28
31,2023-09-13,-0.011,-0.383
32,2023-09-14,-0.071,0.033
33,2023-09-15,-0.673,0.678
34,2023-09-18,0.264,0.374
35,2023-09-19,0.412,-0.705
36,2023-09-20,0.131,-0.59
37,2023-09-21,-0.289,0.104
38,2023-09-22,-0.011,0.18
39,2023-09-25,0.961,-1.076
40,2023-09-26,0.027,-1.101
41,2023-09-27,-0.772,0.059
42,2023-10-04,-0.497,1.221
43,2023-10-05,-0.136,0.581
44,2023-10-06,-0.536,0.31
45,2023-10-10,-0.38,0.813
46,2023-10-11,0.659,-0.368
47,2023-10-12,0.152,-0.848
48,2023-10-13,-0.459,0.228
49,2023-10-16,0.298,0.135
50,2023-10-17,-0.022,-0.351
51,2023-10-18,0.054,-0.156
52,2023-10-19,-0.647,0.499
53,2023-10-20,-0.607,1.156
