,date,ks200_p_change(%),ks200_p_range
0,2023-07-31,-0.038,1.9
1,2023-08-01,0.186,3.06
2,2023-08-02,-0.155,1.62
3,2023-08-03,0.163,3.01
4,2023-08-04,-0.015,1.85
5,2023-08-07,0.346,3.11
6,2023-08-08,0.047,2.58
7,2023-08-09,-0.05,3.17
8,2023-08-10,-0.012,1.02
9,2023-08-11,-0.286,2.46
10,2023-08-14,-0.569,2.37
11,2023-08-16,-0.336,2.39
12,2023-08-17,0.279,3.89
13,2023-08-18,0.332,3.39
14,2023-08-21,0.048,1.88
15,2023-08-22,0.181,2.32
16,2023-08-23,-0.2,2.17
17,2023-08-24,-0.078,1.36
18,2023-08-25,0.167,2.1
19,2023-08-28,0.109,1.54
20,2023-08-29,-0.21,1.76
21,2023-08-30,-0.05,1.31
22,2023-08-31,-0.107,1.53
23,2023-09-01,-0.012,3.64
24,2023-09-04,-0.1,1.22
25,2023-09-05,-0.244,1.96
26,2023-09-06,-0.118,1.19
27,2023-09-07,-0.074,1.84
28,2023-09-08,0.009,1.85
29,2023-09-11,-0.14,1.96
30,2023-09-12,-0.21,2.15
31,2023-09-13,0.009,1.78
32,2023-09-14,0.047,1.32
33,2023-09-15,0.362,2.73
34,2023-09-18,-0.061,2.06
35,2023-09-19,-0.36,1.95
36,2023-09-20,-0.05,1.47
37,2023-09-21,-0.454,2.69
38,2023-09-22,0.246,1.74
39,2023-09-25,-0.096,1.87
40,2023-09-26,-0.177,4.27
41,2023-09-27,-0.071,2.29
42,2023-10-04,-0.265,3.04
43,2023-10-05,0.166,2.93
44,2023-10-06,-0.012,1.79
45,2023-10-10,-0.317,2.25
46,2023-10-11,0.052,2.0
47,2023-10-12,0.238,1.71
48,2023-10-13,0.046,1.9
49,2023-10-16,-0.298,2.5
50,2023-10-17,-0.058,1.25
51,2023-10-18,0.067,2.17
52,2023-10-19,0.284,1.56
53,2023-10-20,-0.274,3.71
