,date,niv_night_change
0,2023-07-31,0.43
1,2023-08-01,-1.092
2,2023-08-02,1.498
3,2023-08-03,5.074
4,2023-08-04,3.146
5,2023-08-07,2.589
6,2023-08-08,-1.767
7,2023-08-09,-0.099
8,2023-08-10,0
9,2023-08-11,0
10,2023-08-14,-2.236
11,2023-08-16,4.562
12,2023-08-17,-1.152
13,2023-08-18,3.834
14,2023-08-21,0.973
15,2023-08-22,-3.561
16,2023-08-23,0.689
17,2023-08-24,-1.468
18,2023-08-25,5.254
19,2023-08-28,-2.225
20,2023-08-29,-3.1
21,2023-08-30,-1.833
22,2023-08-31,-2.424
23,2023-09-01,0.296
24,2023-09-04,0.059
25,2023-09-05,2.1
26,2023-09-06,2.961
27,2023-09-07,5.543
28,2023-09-08,0.503
29,2023-09-11,-0.928
30,2023-09-12,-3.077
31,2023-09-13,-0.431
32,2023-09-14,-2.609
33,2023-09-15,-0.871
34,2023-09-18,0
35,2023-09-19,5.066
36,2023-09-20,0.65
37,2023-09-21,2.665
38,2023-09-22,5.863
39,2023-09-25,-0.841
40,2023-09-26,-1.59
41,2023-09-27,4.007
42,2023-10-04,9.31
43,2023-10-05,-7.074
44,2023-10-06,-1.2
45,2023-10-10,2.003
46,2023-10-11,-1.944
47,2023-10-12,-1.403
48,2023-10-13,-0.87
49,2023-10-16,2.337
50,2023-10-17,-4.247
51,2023-10-18,-0.284
52,2023-10-19,6.667
53,2023-10-20,1.335
