,현재가,거래량,체결시간,시가,고가,저가,수정주가이벤트,전일종가
0,-317.25,9,20231025153000,-317.15,-317.25,-317.10,319.55,+320.30
1,-317.25,13,20231025144500,-317.20,-317.75,-317.10,,
2,-317.40,21,20231025140000,-318.30,-318.30,-317.20,,
3,-317.90,29,20231025131500,-317.50,-317.90,-316.95,,
4,-317.45,22,20231025123000,-317.95,-317.95,-317.45,,
5,-317.95,30,20231025114500,-318.55,318.90,-317.90,,
6,-318.65,45,20231025110000,-318.85,+319.05,-318.50,,
7,-318.70,102,20231025101500,-318.10,-318.70,-317.50,,
8,-318.20,85,20231025093000,-318.80,+319.00,-317.85,,
9,+319.50,86,20231025084500,+319.75,+320.00,-318.60,,
10,+318.90,9,20231024153000,+318.95,+318.95,+318.90,,
11,+318.95,46,20231024144500,+318.50,+318.95,+318.30,,
12,+318.50,78,20231024140000,+317.30,+318.85,+317.30,,
13,+317.20,33,20231024131500,-315.35,+317.20,-315.35,,
14,-315.35,39,20231024123000,-315.20,-315.60,-315.00,,
15,-315.10,56,20231024114500,316.35,316.35,-315.00,,
16,+316.70,149,20231024110000,-313.20,+316.95,-313.20,,
17,-313.20,277,20231024101500,-315.35,-315.35,-312.40,,
18,-315.40,70,20231024093000,+316.45,+316.85,-315.25,,
19,+316.75,71,20231024084500,+318.00,+318.20,-316.30,,
20,-316.35,10,20231023153000,-316.50,-316.55,-316.35,,
21,-316.35,29,20231023144500,-316.05,-316.60,-315.85,,
22,-316.00,26,20231023140000,-316.25,-316.25,-315.80,,
23,-316.05,88,20231023131500,-317.10,-317.15,-315.95,,
24,-317.10,25,20231023123000,-316.50,-317.10,-316.35,,
25,-316.50,32,20231023114500,-316.45,-316.70,-316.05,,
26,-316.45,89,20231023110000,-317.55,-317.55,-316.40,,
27,-317.55,70,20231023101500,-317.60,-318.35,-317.55,,
28,-317.50,34,20231023093000,-317.45,-318.25,-317.45,,
29,-316.95,132,20231023084500,-317.30,+318.50,-316.70,,
30,-318.40,14,20231020153000,-318.35,-318.60,-318.35,,
31,-318.30,46,20231020144500,-319.30,-319.30,-318.20,,
32,-319.25,57,20231020140000,-320.25,-320.25,-319.25,,
33,-320.25,66,20231020131500,-319.50,-320.30,-319.50,,
34,-319.50,89,20231020123000,-319.15,-319.75,-319.00,,
35,-319.20,55,20231020114500,-318.10,-319.30,-318.10,,
36,-318.10,26,20231020110000,-317.65,-318.15,-317.50,,
37,-317.75,99,20231020101500,-316.95,-318.10,-316.80,,
38,-317.00,138,20231020093000,-318.15,-318.15,-316.95,,
39,-318.25,231,20231020084500,-320.10,-320.70,-318.10,,
40,-322.85,16,20231019153000,-323.25,-323.35,-322.85,,
41,-323.25,22,20231019144500,-323.25,-323.35,-323.00,,
42,-323.40,10,20231019140000,-323.70,-323.85,-323.40,,
43,-323.45,16,20231019131500,-323.65,-323.75,-323.35,,
44,-323.70,13,20231019123000,-323.30,-323.75,-323.30,,
45,-323.20,31,20231019114500,-323.80,-323.90,-323.00,,
46,-323.65,40,20231019110000,-324.30,-324.40,-323.65,,
47,-324.30,35,20231019101500,-325.05,-325.50,-324.25,,
48,-324.85,42,20231019093000,-324.10,-325.05,-323.85,,
49,-323.90,127,20231019084500,-325.90,-325.90,-323.80,,
50,+329.35,5,20231018153000,+329.45,+329.45,+329.35,,
51,+329.40,27,20231018144500,+329.35,+329.60,+329.35,,
52,+329.25,24,20231018140000,+329.05,+329.30,+328.90,,
53,+329.35,25,20231018131500,+329.55,+329.60,+329.35,,
54,+329.40,1,20231018123000,+329.40,+329.40,+329.40,,
55,+329.40,76,20231018114500,+328.90,+329.80,+328.90,,
56,+328.70,91,20231018110000,+328.60,+329.45,+328.60,,
57,+328.40,102,20231018101500,+328.00,+329.05,+328.00,,
58,-327.80,80,20231018093000,+328.40,+328.85,-327.80,,
59,+328.00,68,20231018084500,-327.20,+328.30,-327.00,,
60,+327.90,1,20231017153000,+327.90,+327.90,+327.90,,
61,+328.05,39,20231017144500,+328.60,+328.80,+328.00,,
62,+328.55,49,20231017140000,+328.05,+328.55,+327.75,,
63,+328.05,28,20231017131500,+328.30,+328.70,+328.00,,
64,+328.20,50,20231017123000,+328.45,+328.80,+327.65,,
65,+328.45,132,20231017114500,+327.15,+328.50,+327.05,,
66,+327.15,42,20231017110000,+327.05,+327.40,+326.65,,
67,+327.00,57,20231017101500,+326.50,+327.15,+325.80,,
68,+326.40,62,20231017093000,+326.75,+326.75,+325.80,,
69,+326.90,95,20231017084500,+326.70,+327.05,+325.90,,
70,-324.05,12,20231016153000,-324.15,-324.25,-324.05,,
71,-324.20,77,20231016144500,-323.10,-324.55,-322.90,,
72,-323.15,48,20231016140000,-322.70,-323.50,-322.70,,
73,-322.75,23,20231016131500,-322.35,-322.90,-322.30,,
74,-322.20,21,20231016123000,-322.30,-322.50,-322.15,,
75,-322.35,50,20231016114500,-323.25,-323.30,-322.10,,
76,-323.30,37,20231016110000,-323.70,-323.70,-323.05,,
77,-323.90,79,20231016101500,-325.05,-325.05,-323.90,,
78,-325.10,107,20231016093000,-325.65,-325.85,-324.30,,
