,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230901,CALL,915,,,,,,,,9.89,8.81,6.56,4.78,3.27,2.08,1.23,0.67,,,,
20230901,CALL,1515,,,,,,,16.4,13.75,11.45,9.2,7.01,5.16,3.56,2.31,1.38,,,,
20230901,CALL,1530,,,,,,,15.6,13.4,11.0,8.97,6.8,5.0,3.43,2.2,1.32,,,,
20230901,PUT,915,,,,,,,0.26,0.44,0.74,1.2,1.9,2.89,4.21,5.84,7.86,,,,
20230901,PUT,1515,,,,,,,0.14,0.22,0.36,0.62,1.04,1.68,2.59,3.83,5.38,,,,
20230901,PUT,1530,,,,,,,0.15,0.23,0.39,0.65,1.08,1.73,2.66,3.95,5.57,,,,
20230904,CALL,915,,,,,,,,,12.25,9.45,7.59,5.68,3.92,2.58,1.56,0.87,0.44,,
20230904,CALL,1515,,,,,,,,,13.05,10.7,8.47,6.38,4.53,2.99,1.84,1.02,0.51,,
20230904,CALL,1530,,,,,,,,,13.05,10.95,8.4,6.6,4.7,3.13,1.91,1.08,0.54,,
20230904,PUT,915,,,,,,,,,0.25,0.45,0.79,1.33,2.14,3.28,4.79,6.58,8.81,,
20230904,PUT,1515,,,,,,,,,0.15,0.28,0.51,0.91,1.57,2.53,3.85,5.55,7.51,,
20230904,PUT,1530,,,,,,,,,0.14,0.27,0.49,0.86,1.47,2.39,3.68,5.34,7.29,,
20230905,CALL,915,,,,,,,,,,10.65,8.21,6.35,4.45,2.92,1.77,0.98,0.49,0.23,
20230905,CALL,1515,,,,,,,,,,10.45,8.15,6.08,4.22,2.69,1.58,0.84,0.4,0.17,
20230905,CALL,1530,,,,,,,,,,10.65,8.22,6.13,4.28,2.72,1.6,0.84,0.41,0.17,
20230905,PUT,915,,,,,,,,,,0.24,0.46,0.86,1.5,2.47,3.8,5.46,7.59,10.1,
20230905,PUT,1515,,,,,,,,,,0.24,0.47,0.86,1.52,2.52,3.9,5.63,7.59,10.05,
20230905,PUT,1530,,,,,,,,,,0.25,0.46,0.85,1.5,2.47,3.84,5.55,7.57,9.79,
20230906,CALL,915,,,,,,,,,,10.1,7.71,5.59,3.8,2.37,1.34,0.68,0.31,0.12,
20230906,CALL,1515,,,,,,,,,,8.22,6.05,4.16,2.62,1.48,0.74,0.33,0.14,0.05,
20230906,CALL,1530,,,,,,,,,,8.17,6.1,4.22,2.67,1.51,0.75,0.33,0.13,0.05,
20230906,PUT,915,,,,,,,,,,0.24,0.49,0.92,1.63,2.71,4.18,5.88,8.07,10.35,
20230906,PUT,1515,,,,,,,,,,0.39,0.75,1.35,2.3,3.67,5.44,7.52,9.71,12.0,
20230906,PUT,1530,,,,,,,,,,0.38,0.71,1.3,2.23,3.57,5.33,7.46,9.82,12.0,
20230907,CALL,915,,,,,,,,,9.99,7.5,5.4,3.55,2.12,1.13,0.53,0.22,0.08,,
20230907,CALL,1515,,,,,,,,,8.68,6.5,4.42,2.77,1.52,0.72,0.29,0.11,0.04,,
20230907,CALL,1530,,,,,,,,,8.89,6.65,4.6,2.9,1.62,0.79,0.33,0.12,0.05,,
20230907,PUT,915,,,,,,,,,0.21,0.43,0.81,1.49,2.55,4.07,5.95,8.2,10.45,,
20230907,PUT,1515,,,,,,,,,0.26,0.53,1.0,1.81,3.06,4.76,6.83,9.19,11.5,,
20230907,PUT,1530,,,,,,,,,0.26,0.51,0.98,1.78,2.99,4.66,6.61,8.9,11.45,,
20230908,CALL,915,,,,,,,,11.15,8.89,6.61,4.65,2.9,1.59,0.75,0.31,0.1,,,
20230908,CALL,1515,,,,,,,,11.2,9.02,6.58,4.44,2.71,1.42,0.63,0.24,0.09,,,
20230908,CALL,1530,,,,,,,,11.2,9.21,6.9,4.79,2.96,1.59,0.72,0.26,0.09,,,
20230908,PUT,915,,,,,,,,0.1,0.19,0.41,0.84,1.59,2.78,4.51,6.58,8.95,,,
20230908,PUT,1515,,,,,,,,0.07,0.16,0.36,0.78,1.53,2.74,4.46,6.59,9.49,,,
