거래일자,종목코드,종목명,시각,만기월,풋콜구분,행사가,결제월번호,시가,고가,저가,종가
"20231013","KR4201TB2053","코스피200 C 202311 205.0","1504","202311","CALL","205","1","121","121","121","121"
"20231013","KR4201TB2053","코스피200 C 202311 205.0","1512","202311","CALL","205","1","121","121","121","121"
"20231013","KR4201TB3002","코스피200 C 202311 300.0","0932","202311","CALL","300","1","27.5","27.5","27.5","27.5"
"20231013","KR4201TB3002","코스피200 C 202311 300.0","1414","202311","CALL","300","1","26.75","26.75","26.75","26.75"
"20231013","KR4201TB3002","코스피200 C 202311 300.0","1435","202311","CALL","300","1","27","27","27","27"
"20231013","KR4201TB3028","코스피200 C 202311 302.5","0932","202311","CALL","302.5","1","25.15","25.15","25.15","25.15"
"20231013","KR4201TB3028","코스피200 C 202311 302.5","1208","202311","CALL","302.5","1","25.1","25.1","25.1","25.1"
"20231013","KR4201TB3028","코스피200 C 202311 302.5","1213","202311","CALL","302.5","1","24.95","24.95","24.95","24.95"
"20231013","KR4201TB3051","코스피200 C 202311 305.0","0933","202311","CALL","305","1","22.8","22.8","22.8","22.8"
"20231013","KR4201TB3077","코스피200 C 202311 307.5","1402","202311","CALL","307.5","1","19.45","19.45","19.45","19.45"
"20231013","KR4201TB3077","코스피200 C 202311 307.5","1430","202311","CALL","307.5","1","19.9","19.9","19.9","19.9"
"20231013","KR4201TB3077","코스피200 C 202311 307.5","1434","202311","CALL","307.5","1","19.8","19.8","19.8","19.8"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","0848","202311","CALL","310","1","17.3","17.3","17.3","17.3"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","0859","202311","CALL","310","1","17.4","17.4","17.4","17.4"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","0901","202311","CALL","310","1","16.95","16.95","16.95","16.95"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","0903","202311","CALL","310","1","17.5","17.5","17.5","17.5"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","0906","202311","CALL","310","1","17.9","17.9","17.9","17.9"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","0920","202311","CALL","310","1","17.9","17.9","17.9","17.9"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1012","202311","CALL","310","1","18.2","18.2","18.1","18.1"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1150","202311","CALL","310","1","18","18","18","18"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1229","202311","CALL","310","1","17.75","17.75","17.75","17.75"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1252","202311","CALL","310","1","17.75","17.75","17.75","17.75"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1253","202311","CALL","310","1","17.75","17.75","17.75","17.75"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1255","202311","CALL","310","1","17.8","17.8","17.8","17.8"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1257","202311","CALL","310","1","17.85","17.85","17.85","17.85"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1331","202311","CALL","310","1","17.7","17.7","17.7","17.7"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1352","202311","CALL","310","1","17.55","17.55","17.55","17.55"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1356","202311","CALL","310","1","17.4","17.4","17.4","17.4"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1410","202311","CALL","310","1","17.4","17.4","17.4","17.4"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1421","202311","CALL","310","1","17.4","17.4","17.4","17.4"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1500","202311","CALL","310","1","17.5","17.5","17.5","17.5"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1503","202311","CALL","310","1","17.45","17.45","17.45","17.45"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1504","202311","CALL","310","1","17.4","17.4","17.4","17.4"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1505","202311","CALL","310","1","17.45","17.45","17.45","17.45"
"20231013","KR4201TB3101","코스피200 C 202311 310.0","1517","202311","CALL","310","1","17.55","17.55","17.55","17.55"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","0735","202311","CALL","312.5","1",,,,
"20231013","KR4201TB3127","코스피200 C 202311 312.5","0904","202311","CALL","312.5","1","15.4","15.4","15.4","15.4"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","0940","202311","CALL","312.5","1","15.4","15.4","15.4","15.4"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","1005","202311","CALL","312.5","1","15.9","15.9","15.9","15.9"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","1008","202311","CALL","312.5","1","15.9","15.9","15.9","15.9"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","1016","202311","CALL","312.5","1","16.15","16.15","16.15","16.15"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","1211","202311","CALL","312.5","1","15.9","15.9","15.9","15.9"
"20231013","KR4201TB3127","코스피200 C 202311 312.5","1240","202311","CALL","312.5","1","15.4","15.4","15.4","15.4"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0735","202311","CALL","315","1",,,,
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0847","202311","CALL","315","1","13.15","13.15","13.15","13.15"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0848","202311","CALL","315","1","13.05","13.05","13.05","13.05"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0851","202311","CALL","315","1","13.05","13.05","13.05","13.05"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0855","202311","CALL","315","1","13.3","13.3","13.3","13.3"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0856","202311","CALL","315","1","13.25","13.25","13.25","13.25"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0857","202311","CALL","315","1","13.2","13.2","13.15","13.15"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","0914","202311","CALL","315","1","14","14","14","14"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1105","202311","CALL","315","1","14.1","14.1","14.1","14.1"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1211","202311","CALL","315","1","13.8","13.8","13.8","13.8"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1221","202311","CALL","315","1","13.6","13.6","13.6","13.6"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1404","202311","CALL","315","1","13.05","13.05","13.05","13.05"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1407","202311","CALL","315","1","13.05","13.05","13.05","13.05"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1455","202311","CALL","315","1","13.4","13.4","13.4","13.4"
"20231013","KR4201TB3150","코스피200 C 202311 315.0","1517","202311","CALL","315","1","13.35","13.35","13.35","13.35"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0846","202311","CALL","317.5","1","10.95","10.95","10.95","10.95"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0847","202311","CALL","317.5","1","11.2","11.2","11.2","11.2"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0849","202311","CALL","317.5","1","11.15","11.15","11.15","11.15"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0851","202311","CALL","317.5","1","11.1","11.1","11.1","11.1"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0854","202311","CALL","317.5","1","11.3","11.3","11.3","11.3"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0856","202311","CALL","317.5","1","11.3","11.35","11.3","11.35"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0857","202311","CALL","317.5","1","11.35","11.35","11.2","11.2"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0900","202311","CALL","317.5","1","11","11","10.9","10.9"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0904","202311","CALL","317.5","1","11.5","11.5","11.5","11.5"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","0935","202311","CALL","317.5","1","11.8","11.8","11.8","11.8"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","1212","202311","CALL","317.5","1","11.75","11.75","11.75","11.75"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","1408","202311","CALL","317.5","1","11.1","11.1","11.1","11.1"
"20231013","KR4201TB3176","코스피200 C 202311 317.5","1508","202311","CALL","317.5","1","11.25","11.25","11.25","11.25"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0731","202311","CALL","320","1",,,,
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0732","202311","CALL","320","1",,,,
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0735","202311","CALL","320","1",,,,
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0740","202311","CALL","320","1",,,,
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0846","202311","CALL","320","1","9.25","9.34","9.25","9.34"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0847","202311","CALL","320","1","9.35","9.35","9.35","9.35"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0850","202311","CALL","320","1","9.28","9.28","9.28","9.28"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0851","202311","CALL","320","1","9.26","9.26","9.26","9.26"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0852","202311","CALL","320","1","9.29","9.35","9.29","9.35"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0854","202311","CALL","320","1","9.5","9.5","9.5","9.5"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0856","202311","CALL","320","1","9.47","9.55","9.47","9.55"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0857","202311","CALL","320","1","9.49","9.49","9.49","9.49"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0858","202311","CALL","320","1","9.37","9.38","9.37","9.38"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0859","202311","CALL","320","1","9.4","9.4","9.4","9.4"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0900","202311","CALL","320","1","9.4","9.4","9.18","9.19"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0901","202311","CALL","320","1","9.1","9.37","9.07","9.37"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0902","202311","CALL","320","1","9.3","9.65","9.24","9.62"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0903","202311","CALL","320","1","9.46","9.48","9.3","9.33"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0904","202311","CALL","320","1","9.38","9.61","9.38","9.61"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0905","202311","CALL","320","1","9.67","9.67","9.53","9.66"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0906","202311","CALL","320","1","9.83","9.84","9.61","9.63"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0907","202311","CALL","320","1","9.69","9.75","9.69","9.75"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0908","202311","CALL","320","1","9.84","9.88","9.84","9.88"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0909","202311","CALL","320","1","9.94","10","9.92","9.92"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0911","202311","CALL","320","1","9.9","9.9","9.88","9.89"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0916","202311","CALL","320","1","10.3","10.3","10.2","10.2"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0918","202311","CALL","320","1","9.86","9.86","9.79","9.79"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0919","202311","CALL","320","1","9.88","9.92","9.88","9.92"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0920","202311","CALL","320","1","9.84","9.84","9.75","9.75"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0921","202311","CALL","320","1","9.71","9.77","9.7","9.71"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0922","202311","CALL","320","1","9.72","9.72","9.64","9.64"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0924","202311","CALL","320","1","9.73","9.73","9.7","9.7"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0925","202311","CALL","320","1","9.5","9.52","9.5","9.52"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0926","202311","CALL","320","1","9.41","9.55","9.4","9.55"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0927","202311","CALL","320","1","9.51","9.54","9.51","9.54"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0928","202311","CALL","320","1","9.57","9.67","9.57","9.67"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0929","202311","CALL","320","1","9.7","9.7","9.7","9.7"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0930","202311","CALL","320","1","9.61","9.77","9.58","9.77"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0931","202311","CALL","320","1","9.82","9.85","9.77","9.85"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0933","202311","CALL","320","1","9.96","9.96","9.96","9.96"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0937","202311","CALL","320","1","9.71","9.71","9.63","9.63"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0938","202311","CALL","320","1","9.47","9.47","9.39","9.39"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0939","202311","CALL","320","1","9.44","9.5","9.44","9.5"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0940","202311","CALL","320","1","9.55","9.65","9.55","9.65"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0941","202311","CALL","320","1","9.67","9.67","9.61","9.61"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0942","202311","CALL","320","1","9.67","9.67","9.62","9.62"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0944","202311","CALL","320","1","9.74","9.74","9.63","9.63"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0945","202311","CALL","320","1","9.7","9.7","9.7","9.7"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0947","202311","CALL","320","1","9.95","10","9.95","10"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0948","202311","CALL","320","1","10","10","10","10"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0954","202311","CALL","320","1","9.79","9.79","9.79","9.79"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0956","202311","CALL","320","1","9.75","9.75","9.75","9.75"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0957","202311","CALL","320","1","9.76","9.76","9.76","9.76"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0958","202311","CALL","320","1","9.73","9.84","9.73","9.84"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","0959","202311","CALL","320","1","9.85","9.96","9.85","9.96"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1000","202311","CALL","320","1","9.88","9.88","9.88","9.88"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1002","202311","CALL","320","1","9.87","9.99","9.87","9.99"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1003","202311","CALL","320","1","10","10","9.92","9.92"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1004","202311","CALL","320","1","9.87","9.87","9.87","9.87"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1007","202311","CALL","320","1","9.98","9.98","9.98","9.98"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1009","202311","CALL","320","1","10.05","10.05","10.05","10.05"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1020","202311","CALL","320","1","10.2","10.2","10.2","10.2"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1026","202311","CALL","320","1","9.75","9.75","9.75","9.75"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1027","202311","CALL","320","1","9.78","9.83","9.78","9.83"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1032","202311","CALL","320","1","9.88","9.88","9.88","9.88"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1033","202311","CALL","320","1","9.95","10.05","9.95","10.05"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1035","202311","CALL","320","1","10.05","10.05","9.97","9.97"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1036","202311","CALL","320","1","9.85","9.85","9.85","9.85"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1037","202311","CALL","320","1","9.75","9.77","9.75","9.77"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1038","202311","CALL","320","1","9.75","9.75","9.62","9.62"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1039","202311","CALL","320","1","9.65","9.65","9.58","9.58"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1040","202311","CALL","320","1","9.61","9.61","9.61","9.61"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1041","202311","CALL","320","1","9.55","9.55","9.55","9.55"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1042","202311","CALL","320","1","9.56","9.65","9.56","9.65"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1043","202311","CALL","320","1","9.7","9.73","9.7","9.73"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1044","202311","CALL","320","1","9.75","9.81","9.73","9.81"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1045","202311","CALL","320","1","9.82","9.82","9.82","9.82"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1047","202311","CALL","320","1","9.82","9.82","9.8","9.8"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1049","202311","CALL","320","1","9.81","9.81","9.81","9.81"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1050","202311","CALL","320","1","9.88","9.92","9.88","9.92"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1051","202311","CALL","320","1","9.94","9.94","9.94","9.94"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1052","202311","CALL","320","1","9.96","9.96","9.86","9.86"
"20231013","KR4201TB3200","코스피200 C 202311 320.0","1053","202311","CALL","320","1","9.89","9.94","9.85","9.85"
