,거래일자,종목코드,종목명,시각,만기월,풋콜구분,행사가,결제월번호,시가,고가,저가,종가
0,20230912,KR4201T93278,코스피200 C 202309 327.5,920,202309,CALL,327.5,1,10.25,10.25,10.25,10.25
1,20230912,KR4201T93278,코스피200 C 202309 327.5,933,202309,CALL,327.5,1,9.95,10.0,9.91,10.0
2,20230912,KR4201T93278,코스피200 C 202309 327.5,934,202309,CALL,327.5,1,9.99,9.99,9.99,9.99
3,20230912,KR4201T93278,코스피200 C 202309 327.5,935,202309,CALL,327.5,1,10.2,10.2,10.2,10.2
4,20230912,KR4201T93278,코스피200 C 202309 327.5,937,202309,CALL,327.5,1,10.1,10.15,10.1,10.15
5,20230912,KR4201T93278,코스피200 C 202309 327.5,956,202309,CALL,327.5,1,9.73,9.73,9.73,9.73
6,20230912,KR4201T93278,코스피200 C 202309 327.5,957,202309,CALL,327.5,1,9.52,9.52,9.52,9.52
7,20230912,KR4201T93278,코스피200 C 202309 327.5,1000,202309,CALL,327.5,1,9.55,9.55,9.55,9.55
8,20230912,KR4201T93278,코스피200 C 202309 327.5,1004,202309,CALL,327.5,1,9.24,9.27,9.23,9.25
9,20230912,KR4201T93278,코스피200 C 202309 327.5,1005,202309,CALL,327.5,1,9.21,9.26,9.16,9.16
10,20230912,KR4201T93278,코스피200 C 202309 327.5,1006,202309,CALL,327.5,1,9.05,9.05,9.05,9.05
11,20230912,KR4201T93278,코스피200 C 202309 327.5,1007,202309,CALL,327.5,1,9.1,9.1,9.02,9.02
12,20230912,KR4201T93278,코스피200 C 202309 327.5,1008,202309,CALL,327.5,1,8.95,9.0,8.95,9.0
13,20230912,KR4201T93278,코스피200 C 202309 327.5,1012,202309,CALL,327.5,1,9.25,9.25,9.25,9.25
14,20230912,KR4201T93278,코스피200 C 202309 327.5,1020,202309,CALL,327.5,1,9.08,9.08,9.08,9.08
15,20230912,KR4201T93278,코스피200 C 202309 327.5,1023,202309,CALL,327.5,1,8.95,8.95,8.95,8.95
16,20230912,KR4201T93278,코스피200 C 202309 327.5,1027,202309,CALL,327.5,1,9.0,9.0,9.0,9.0
17,20230912,KR4201T93278,코스피200 C 202309 327.5,1028,202309,CALL,327.5,1,9.0,9.0,9.0,9.0
18,20230912,KR4201T93278,코스피200 C 202309 327.5,1029,202309,CALL,327.5,1,9.0,9.05,9.0,9.05
19,20230912,KR4201T93278,코스피200 C 202309 327.5,1031,202309,CALL,327.5,1,8.95,8.95,8.95,8.95
20,20230912,KR4201T93278,코스피200 C 202309 327.5,1034,202309,CALL,327.5,1,8.66,8.66,8.66,8.66
21,20230912,KR4201T93278,코스피200 C 202309 327.5,1040,202309,CALL,327.5,1,8.4,8.4,8.4,8.4
22,20230912,KR4201T93278,코스피200 C 202309 327.5,1041,202309,CALL,327.5,1,8.61,8.61,8.61,8.61
23,20230912,KR4201T93278,코스피200 C 202309 327.5,1053,202309,CALL,327.5,1,8.28,8.28,8.28,8.28
24,20230912,KR4201T93278,코스피200 C 202309 327.5,1054,202309,CALL,327.5,1,8.31,8.41,8.3,8.37
25,20230912,KR4201T93278,코스피200 C 202309 327.5,1055,202309,CALL,327.5,1,8.33,8.33,8.33,8.33
26,20230912,KR4201T93278,코스피200 C 202309 327.5,1112,202309,CALL,327.5,1,8.8,8.8,8.8,8.8
