,날짜,종가,시가,고가,저가,거래량,변동 %,당일 변동율,VKOSPI_Label,VKOSPI_new_Label
0,2023-08-11,13.44,13.68,13.8,13.43,,-4.00%,-1.754,0,0
1,2023-08-14,14.14,14.01,14.53,13.84,,5.21%,0.928,1,0
2,2023-08-16,15.15,14.89,15.39,14.83,,7.14%,1.746,1,1
3,2023-08-17,15.57,15.86,16.74,15.5,,2.77%,-1.828,0,0
4,2023-08-18,16.03,16.92,17.09,15.75,,2.95%,-5.26,0,0
5,2023-08-21,16.03,16.28,16.29,15.63,,0.00%,-1.536,0,0
6,2023-08-22,15.33,15.51,15.51,15.02,,-4.37%,-1.161,0,0
7,2023-08-23,14.97,15.72,15.72,14.96,,-2.35%,-4.771,0,0
8,2023-08-24,13.94,14.31,14.33,13.8,,-6.88%,-2.586,0,0
9,2023-08-25,14.86,15.2,15.23,14.69,,6.60%,-2.237,0,0
10,2023-08-28,14.18,14.53,14.57,14.15,,-4.58%,-2.409,0,0
11,2023-08-29,13.49,13.89,14.04,13.44,,-4.87%,-2.88,0,0
12,2023-08-30,13.05,13.14,13.19,12.86,,-3.26%,-0.685,0,0
13,2023-08-31,12.78,12.88,12.91,12.7,,-2.07%,-0.776,0,0
14,2023-09-01,12.53,12.74,12.77,12.42,,-1.96%,-1.648,0,0
15,2023-09-04,12.49,12.82,12.88,12.42,,-0.32%,-2.574,0,0
16,2023-09-05,12.42,12.51,12.53,12.31,,-0.56%,-0.719,0,0
17,2023-09-06,12.46,12.39,12.56,12.27,,0.32%,0.565,1,0
18,2023-09-07,12.69,12.55,12.72,12.39,,1.85%,1.116,1,1
19,2023-09-08,12.4,12.51,12.79,12.4,,-2.29%,-0.879,0,0
20,2023-09-11,12.42,12.55,12.73,12.37,,0.16%,-1.036,0,0
21,2023-09-12,12.4,12.24,12.55,12.21,,-0.16%,1.307,1,1
22,2023-09-13,12.64,12.54,12.66,12.27,,1.94%,0.797,1,0
23,2023-09-14,12.02,12.42,12.43,11.96,,-4.91%,-3.221,0,0
24,2023-09-15,11.73,11.92,12.11,11.72,,-2.41%,-1.594,0,0
25,2023-09-18,12.85,12.76,12.9,12.69,,9.55%,0.705,1,0
26,2023-09-19,12.95,12.85,13.11,12.83,,0.78%,0.778,1,0
27,2023-09-20,13.03,13.11,13.18,13.0,,0.62%,-0.61,0,0
28,2023-09-21,13.96,13.33,14.0,13.23,,7.14%,4.726,1,1
29,2023-09-22,14.18,15.25,15.51,14.12,,1.58%,-7.016,0,0
30,2023-09-25,14.1,14.72,14.72,14.04,,-0.56%,-4.212,0,0
31,2023-09-26,14.74,14.12,14.88,14.11,,4.54%,4.391,1,1
32,2023-09-27,15.08,15.43,15.43,14.94,,2.31%,-2.268,0,0
33,2023-10-04,18.09,17.16,18.13,17.16,,19.96%,5.42,1,1
34,2023-10-05,17.34,17.1,17.62,16.96,,-4.15%,1.404,1,1
35,2023-10-06,17.39,17.11,17.39,16.83,,0.29%,1.636,1,1
36,2023-10-10,17.56,16.77,17.58,16.61,,0.98%,4.711,1,1
37,2023-10-11,16.74,16.78,16.82,16.33,,-4.67%,-0.238,0,0
