,날짜,종가,시가,고가,저가,거래량,변동 %,당일 변동율,VKOSPI_Label
0,2023-04-10,15.72,15.69,15.94,15.59,,2.41%,0.191,0
1,2023-04-11,15.62,15.64,15.88,15.49,,-0.64%,-0.128,0
2,2023-04-12,15.82,15.82,16.04,15.77,,1.28%,0.0,0
3,2023-04-13,15.52,15.89,15.91,15.49,,-1.90%,-2.329,-1
4,2023-04-14,15.42,15.82,16.0,15.22,,-0.64%,-2.528,-1
5,2023-04-17,15.49,15.91,15.93,15.49,,0.45%,-2.64,-1
6,2023-04-18,15.17,15.42,15.47,15.13,,-2.07%,-1.621,0
7,2023-04-19,14.86,15.08,15.16,14.79,,-2.04%,-1.459,0
8,2023-04-20,14.63,14.81,14.85,14.63,,-1.55%,-1.215,0
9,2023-04-21,14.62,14.85,15.03,14.62,,-0.07%,-1.549,0
10,2023-04-24,14.86,15.15,15.15,14.8,,1.64%,-1.914,-1
11,2023-04-25,15.02,14.8,15.4,14.54,,1.08%,1.486,0
12,2023-04-26,15.09,15.14,15.25,14.89,,0.47%,-0.33,0
13,2023-04-27,14.86,15.33,15.61,14.81,,-1.52%,-3.066,-1
14,2023-04-28,14.51,14.6,14.9,14.28,,-2.36%,-0.616,0
15,2023-05-02,14.21,14.6,14.65,14.18,,-2.07%,-2.671,-1
16,2023-05-03,15.09,14.69,15.18,14.66,,6.19%,2.723,0
17,2023-05-04,15.27,15.4,15.54,15.15,,1.19%,-0.844,0
18,2023-05-08,14.87,14.96,15.01,14.72,,-2.62%,-0.602,0
19,2023-05-09,14.39,14.97,14.97,14.2,,-3.23%,-3.874,-1
20,2023-05-10,14.77,14.46,15.01,14.31,,2.64%,2.144,0
21,2023-05-11,14.31,14.32,14.36,13.94,,-3.11%,-0.07,0
22,2023-05-12,13.93,14.33,14.41,13.93,,-2.66%,-2.791,-1
23,2023-05-15,13.81,14.51,14.57,13.81,,-0.86%,-4.824,-1
24,2023-05-16,13.59,13.47,13.68,13.47,,-1.59%,0.891,0
25,2023-05-17,13.52,13.71,13.73,13.47,,-0.52%,-1.386,0
26,2023-05-18,13.54,13.36,13.63,13.29,,0.15%,1.347,0
27,2023-05-19,14.13,13.7,14.26,13.67,,4.36%,3.139,0
28,2023-05-22,14.74,14.96,15.15,14.67,,4.32%,-1.471,0
29,2023-05-23,14.56,14.84,14.85,14.56,,-1.22%,-1.887,-1
30,2023-05-24,14.87,14.78,14.91,14.67,,2.13%,0.609,0
31,2023-05-25,15.07,14.95,15.15,14.91,,1.34%,0.803,0
32,2023-05-26,14.96,15.0,15.1,14.92,,-0.73%,-0.267,0
33,2023-05-30,14.79,15.33,15.34,14.79,,-1.14%,-3.523,-1
34,2023-05-31,14.8,14.88,14.9,14.63,,0.07%,-0.538,0
35,2023-06-01,14.35,14.65,14.71,14.34,,-3.04%,-2.048,-1
36,2023-06-02,13.96,14.06,14.09,13.82,,-2.72%,-0.711,0
37,2023-06-05,14.08,14.16,14.26,13.99,,0.86%,-0.565,0
38,2023-06-07,13.71,13.91,13.91,13.63,,-2.63%,-1.438,0
39,2023-06-08,13.44,13.53,13.55,13.11,,-1.97%,-0.665,0
40,2023-06-09,13.16,13.27,13.5,13.02,,-2.08%,-0.829,0
41,2023-06-12,13.45,13.64,13.67,13.45,,2.20%,-1.393,0
