,일자,S-4,S-3,S-2,S-1,S,S+1,S+2,S+3,S+4
0,20230811,-2.21,-1.93,-1.72,-1.29,-0.89,-0.38,0.02,0.56,1.19
1,20230814,0.39,-0.96,-0.81,-0.48,-0.15,0.16,0.56,0.9,1.01
2,20230816,-1.18,-0.66,-0.46,-0.09,0.25,0.56,0.97,1.2,1.08
3,20230817,0.23,0.15,0.18,-0.2,-0.51,-0.84,-1.1,-1.22,-1.46
4,20230818,0.23,0.13,-0.21,-0.32,-0.43,-0.55,-0.68,-0.84,-0.68
5,20230821,0.1,-0.77,-0.9,-0.41,-0.37,-0.21,-0.06,0.15,0.62
6,20230822,-2.05,-1.35,0.28,-0.77,-0.58,-0.35,-0.09,0.16,0.86
7,20230823,-0.08,-0.18,-0.08,-0.24,-0.26,-0.2,-0.19,-0.14,-0.34
8,20230824,0.62,0.1,-0.08,-0.31,-0.38,-0.32,-0.35,-0.34,-0.33
9,20230825,0.07,0.08,-0.06,-0.05,-0.07,0.0,-0.04,-0.21,-0.56
10,20230828,0.54,-0.05,0.2,0.07,-0.06,-0.3,-0.47,-0.75,-0.51
11,20230829,-0.05,-0.05,-0.14,-0.19,-0.25,-0.3,-0.32,-0.3,-0.58
12,20230830,-1.28,-1.23,-1.15,-1.05,-0.8,-0.41,-0.05,0.33,0.67
13,20230831,-0.83,-1.05,-0.82,-0.66,-0.48,-0.24,0.07,0.35,0.65
14,20230901,-0.12,3.64,2.26,2.06,1.37,0.68,-0.14,-0.93,-1.77
15,20230904,-0.27,0.5,0.19,-0.7,0.02,-0.07,-0.31,-0.33,7.7
16,20230905,-0.48,0.09,0.14,-0.26,-0.03,-0.06,-0.32,-0.28,9.7
17,20230906,0.44,-0.84,-0.46,-0.21,0.02,0.42,0.41,8.08,11.14
18,20230907,0.29,-0.64,-0.77,-0.41,0.0,0.36,0.79,1.0,10.84
19,20230908,0.02,0.1,-0.08,-0.27,-0.25,-0.21,-0.17,-0.06,0.53
20,20230911,0.59,0.57,1.31,0.93,0.24,-0.55,-1.16,-1.55,-0.73
21,20230913,0.0,0.0,-1.73,-1.64,-0.99,0.05,1.12,1.76,1.81
22,20230914,-0.4,-0.63,-1.14,-0.95,-0.67,-0.02,0.65,0.97,1.16
23,20230915,2.3,2.16,1.99,1.59,0.98,0.41,-0.28,-0.97,-1.12
24,20230918,-1.76,-1.85,-0.89,-0.54,-0.1,0.35,0.79,1.33,1.71
25,20230919,-1.76,-1.43,-0.95,-0.39,-0.04,0.45,0.91,1.18,1.62
26,20230920,0.17,-0.04,0.03,-0.02,-0.03,-0.07,-0.1,-0.02,-0.25
27,20230921,-1.6,-1.34,-0.61,0.24,1.08,1.85,2.5,3.08,3.42
28,20230922,0.45,0.16,-0.16,-0.55,-0.93,-1.27,-1.4,-1.75,-2.36
29,20230925,-0.3,-0.27,0.1,-0.14,-0.32,-0.52,-0.69,-0.91,-0.91
30,20230926,-2.85,-1.91,-0.84,-0.31,0.19,0.71,1.21,1.5,1.96
31,20230927,-0.55,0.42,0.09,0.12,-0.04,-0.21,-0.35,-0.46,-0.65
32,20231004,-0.65,-0.53,-0.26,0.01,0.38,0.56,0.69,1.07,1.31
33,20231005,-0.57,-1.08,-1.23,-0.81,-0.63,-0.34,-0.01,0.39,0.63
34,20231006,-0.35,-0.94,-0.32,-0.43,-0.31,-0.11,0.12,0.29,0.29
35,20231010,0.78,-2.3,1.18,-1.29,-1.05,-0.61,0.16,0.41,1.25
36,20231011,0.09,0.11,0.13,0.34,-0.1,-0.04,-0.03,0.22,0.26
