,일자,S1,S2,S3,S4
0,20230811,-0.87,-0.84,-0.74,-0.61
1,20230814,-0.13,-0.11,-0.07,-0.05
2,20230816,0.25,0.22,0.22,0.22
3,20230817,-0.53,-0.48,-0.47,-0.43
4,20230818,-0.47,-0.48,-0.44,-0.4
5,20230821,-0.29,-0.3,-0.27,-0.24
6,20230822,-0.56,-0.56,-0.49,-0.41
7,20230823,-0.26,-0.23,-0.21,-0.19
8,20230824,-0.28,-0.27,-0.24,-0.22
9,20230825,-0.07,-0.08,-0.05,-0.06
10,20230828,-0.1,-0.09,-0.09,-0.08
11,20230829,-0.25,-0.22,-0.19,-0.14
12,20230830,-0.72,-0.65,-0.53,-0.39
13,20230831,-0.46,-0.39,-0.29,-0.18
14,20230901,1.31,1.1,0.86,0.59
15,20230904,-0.01,0.03,0.19,0.03
16,20230905,-0.02,-0.16,-0.1,-0.01
17,20230906,0.12,0.07,0.09,0.1
18,20230907,0.07,0.07,0.09,0.12
19,20230908,-0.23,-0.17,-0.1,-0.04
20,20230911,0.2,0.13,0.04,0.01
21,20230912,-0.81,-0.45,-0.16,
22,20230913,-0.48,-0.23,-0.05,-0.01
23,20230915,1.0,0.89,0.78,0.6
24,20230918,-0.08,-0.07,-0.05,-0.03
25,20230919,0.01,0.0,0.01,0.02
26,20230920,-0.03,-0.03,-0.03,-0.03
27,20230921,1.04,0.96,0.86,0.73
28,20230922,-0.93,-0.85,-0.79,-0.69
29,20230925,-0.33,-0.3,-0.29,-0.22
30,20230926,0.2,0.2,0.19,0.17
31,20230927,-0.04,-0.04,-0.04,-0.06
32,20231004,0.32,0.31,0.26,0.19
33,20231005,-0.57,-0.45,-0.32,-0.2
34,20231006,-0.28,-0.2,-0.13,-0.06
35,20231010,-1.12,-0.85,-0.91,-0.79
36,20231011,-0.1,-0.1,0.05,0.07
