현재가,거래량,체결시간,시가,고가,저가,전일종가
22.60,2,20231107141500,+22.70,+22.70,22.60,
+24.50,1,20231107104500,+24.50,+24.50,+24.50,
+25.30,1,20231107101500,+25.30,+25.30,+25.30,
+24.70,12,20231107094500,+25.50,+25.50,+24.70,
+26.00,1,20231107084500,+26.00,+26.00,+26.00,
26.00,11,20231106134500,+27.10,+27.10,26.00,
+27.20,2,20231106124500,+26.65,+27.20,+26.65,
-23.10,8,20231106101500,-22.50,-23.10,-22.50,
-22.20,3,20231106094500,-22.20,-22.20,-22.20,
-21.45,2,20231106091500,-21.15,-21.45,-21.15,
-21.60,6,20231106084500,-21.40,-21.60,-21.40,
15.70,6,20231103144500,+15.95,+15.95,15.70,
15.70,3,20231103141500,+15.95,+15.95,15.70,
+16.00,1,20231103134500,+16.00,+16.00,+16.00,
+16.00,63,20231103121500,+16.05,+16.05,+16.00,
+16.05,1,20231103104500,+16.05,+16.05,+16.05,
+16.15,7,20231103101500,+16.35,+16.35,+16.15,
-15.45,4,20231103094500,-14.95,-15.45,-14.50,
-15.00,1,20231103091500,-15.00,-15.00,-15.00,
15.70,101,20231103084500,-15.65,15.70,-15.65,
12.40,1,20231102151500,12.40,12.40,12.40,
+12.60,1,20231102144500,+12.60,+12.60,+12.60,
+13.05,10,20231102141500,+13.00,+13.05,+13.00,
+13.00,1,20231102134500,+13.00,+13.00,+13.00,
+12.90,4,20231102121500,+13.05,+13.05,+12.90,
12.40,6,20231102114500,12.40,12.40,-12.20,
+12.45,15,20231102111500,+13.60,+13.60,+12.45,
+13.30,104,20231102104500,+14.00,+14.20,+13.20,
+14.10,107,20231102101500,+13.70,+14.20,+13.70,
+13.75,35,20231102094500,+13.40,+13.75,+13.05,
+13.10,16,20231102091500,+13.30,+13.45,+12.95,
+12.90,83,20231102084500,+12.60,+13.65,+12.55,
8.36,70,20231101151500,+8.72,+8.86,8.36,
+8.59,45,20231101144500,-8.28,+8.59,-8.12,
-8.26,54,20231101141500,-7.83,+8.44,-7.80,
-7.83,31,20231101134500,-8.13,-8.34,-7.63,
-8.15,23,20231101131500,-8.14,-8.19,-7.80,
-8.07,30,20231101124500,-8.26,-8.26,-7.96,
-8.33,57,20231101121500,-8.19,+8.74,-8.19,
-8.19,50,20231101114500,-8.24,-8.30,-7.88,
-8.21,101,20231101111500,-7.06,-8.21,-6.93,
-7.10,99,20231101104500,-7.50,-7.50,-6.66,
-7.68,46,20231101101500,-7.76,-7.76,-6.95,
-7.86,8,20231101094500,-7.70,-7.90,-7.70,
-8.11,145,20231101091500,+8.94,+9.13,-8.11,
+8.76,253,20231101084500,-6.62,+8.98,-6.22,
6.06,1,20231031154500,6.06,6.06,6.06,
-5.93,231,20231031151500,-5.62,-5.93,-5.62,
-5.60,85,20231031144500,-5.91,-6.00,-5.60,
-5.93,116,20231031141500,-5.89,-5.93,-5.59,
-5.82,84,20231031134500,-5.99,+6.21,-5.82,
-6.01,66,20231031131500,+6.25,+6.25,-5.89,
+6.25,75,20231031124500,+6.24,+6.60,-5.93,
+6.10,67,20231031121500,+6.22,+6.55,-6.02,
+6.22,41,20231031114500,+6.71,+6.71,+6.20,
+6.83,23,20231031111500,+7.24,+7.26,+6.83,
+7.60,24,20231031104500,+7.26,+8.06,+7.26,
+7.88,45,20231031101500,+7.25,+7.88,+6.78,
+7.40,37,20231031094500,+7.65,+7.67,+7.27,
+8.01,36,20231031091500,+9.89,+9.99,+8.01,
+9.71,27,20231031084500,+9.47,+10.25,+9.35,
8.70,72,20231030151500,+9.10,+9.21,8.70,
-8.46,7,20231030144500,-8.07,-8.46,-8.07,
-8.11,14,20231030141500,-8.14,-8.15,-8.11,
-8.00,11,20231030134500,-8.56,-8.56,-8.00,
+9.00,7,20231030131500,+9.08,+9.08,+9.00,
+9.05,6,20231030124500,+9.16,+9.16,+9.05,
+8.82,1,20231030121500,+8.82,+8.82,+8.82,
-8.60,158,20231030114500,+8.73,+8.95,-8.60,
+8.82,5,20231030111500,+8.82,+8.82,+8.82,
-8.36,20,20231030101500,-7.85,-8.49,-7.81,
-8.21,10,20231030094500,-8.21,-8.21,-8.21,
-7.52,8,20231030091500,-8.09,-8.15,-7.52,
-7.58,198,20231030084500,-6.82,-7.58,-6.50,
8.39,7,20231027151500,+8.49,+8.53,-8.37,
+8.40,4,20231027141500,-8.38,+8.49,-8.38,
-8.24,9,20231027134500,+8.76,+8.76,-8.24,
-8.35,102,20231027131500,-7.99,-8.35,-7.99,
-8.11,7,20231027124500,8.39,8.39,-8.11,
+8.75,2,20231027121500,+8.75,+8.75,+8.75,
+9.39,21,20231027104500,+9.17,+9.39,+9.17,
+9.10,10,20231027101500,+8.81,+9.16,+8.77,
