현재가,거래량,체결시간,시가,고가,저가,전일종가
1.06,2435,20231102143000,+1.09,+1.12,-1.05,4.87
+1.09,4388,20231102141500,+1.08,+1.13,1.06,
+1.08,7028,20231102140000,-1.01,+1.08,-0.98,
-1.01,5776,20231102134500,+1.09,+1.09,-0.96,
+1.09,2226,20231102133000,+1.11,+1.12,+1.07,
+1.10,2639,20231102131500,+1.08,+1.10,1.06,
+1.09,3735,20231102130000,+1.14,+1.14,-1.05,
+1.14,5344,20231102124500,+1.07,+1.18,+1.07,
+1.08,3867,20231102123000,+1.12,+1.15,-1.01,
+1.12,4555,20231102121500,-1.05,+1.13,-1.05,
-1.04,4731,20231102120000,-1.03,-1.05,-0.98,
-1.04,8853,20231102114500,-0.93,-1.04,-0.90,
-0.93,8007,20231102113000,-1.04,+1.07,-0.92,
-1.05,6316,20231102111500,+1.22,+1.25,-1.03,
+1.22,12253,20231102110000,+1.45,+1.49,+1.09,
+1.45,6304,20231102104500,+1.40,+1.47,+1.34,
+1.40,4303,20231102103000,+1.36,+1.46,+1.30,
+1.36,11012,20231102101500,+1.27,+1.46,+1.27,
+1.27,8563,20231102100000,+1.14,+1.30,+1.10,
+1.14,7934,20231102094500,+1.19,+1.23,+1.08,
+1.19,9417,20231102093000,+1.14,+1.19,1.06,
+1.14,13169,20231102091500,+1.07,+1.29,1.06,
+1.07,22161,20231102090000,+1.16,+1.22,-1.01,
+1.16,19276,20231102084500,-1.05,+1.30,-1.00,
0.46,290,20231101154500,0.46,0.46,0.46,
-0.44,1141,20231101153000,0.46,0.46,-0.42,
0.46,6353,20231101151500,-0.45,+0.50,-0.44,
0.46,4994,20231101150000,-0.38,0.46,-0.38,
-0.38,3309,20231101144500,-0.41,-0.43,-0.36,
-0.41,4992,20231101143000,-0.39,-0.42,-0.37,
-0.40,6743,20231101141500,-0.34,-0.42,-0.34,
-0.34,5663,20231101140000,-0.40,-0.40,-0.31,
-0.41,3022,20231101134500,-0.37,-0.41,-0.36,
-0.37,2570,20231101133000,-0.34,-0.38,-0.33,
-0.33,2648,20231101131500,-0.36,-0.38,-0.33,
-0.36,3528,20231101130000,-0.34,-0.37,-0.33,
-0.34,4641,20231101124500,-0.40,-0.41,-0.34,
-0.40,6788,20231101123000,-0.41,+0.48,-0.40,
-0.40,3807,20231101121500,-0.37,-0.41,-0.35,
-0.38,3141,20231101120000,-0.37,-0.40,-0.36,
-0.37,5949,20231101114500,-0.39,-0.41,-0.35,
-0.39,8849,20231101113000,-0.29,-0.40,-0.29,
-0.29,5224,20231101111500,-0.27,-0.29,-0.25,
-0.28,7743,20231101110000,-0.26,-0.29,-0.25,
-0.26,8116,20231101104500,-0.34,-0.34,-0.24,
-0.34,8971,20231101103000,-0.29,-0.36,-0.26,
-0.29,8650,20231101101500,-0.36,-0.36,-0.28,
-0.35,5143,20231101100000,-0.37,-0.39,-0.33,
-0.38,7399,20231101094500,-0.37,-0.43,-0.34,
-0.38,11840,20231101093000,0.46,+0.49,-0.37,
0.46,16342,20231101091500,+0.54,+0.57,-0.41,
+0.54,32805,20231101090000,-0.31,+0.55,-0.29,
-0.32,12475,20231101084500,-0.27,-0.32,-0.22,
0.25,313,20231031154500,0.25,0.25,0.25,
-0.24,3079,20231031153000,-0.22,0.25,-0.22,
-0.23,4774,20231031151500,-0.20,-0.23,-0.20,
-0.20,4881,20231031150000,-0.23,-0.24,-0.20,
-0.23,4405,20231031144500,0.25,+0.26,-0.23,
-0.24,5652,20231031143000,-0.22,0.25,-0.22,
-0.22,8070,20231031141500,0.25,0.25,-0.22,
-0.24,6174,20231031140000,+0.26,+0.27,-0.24,
+0.27,2700,20231031134500,+0.27,+0.28,0.25,
+0.26,1841,20231031133000,+0.27,+0.28,+0.26,
+0.27,3509,20231031131500,+0.29,+0.29,+0.26,
+0.29,2215,20231031130000,+0.29,+0.32,+0.28,
+0.29,3604,20231031124500,+0.29,+0.30,+0.26,
+0.29,5362,20231031123000,+0.31,+0.31,+0.27,
+0.31,6095,20231031121500,+0.28,+0.31,+0.27,
+0.28,7886,20231031120000,+0.31,+0.32,+0.27,
+0.32,16695,20231031114500,+0.33,+0.33,+0.28,
+0.34,4941,20231031113000,+0.40,+0.40,+0.33,
+0.40,3171,20231031111500,+0.45,+0.46,+0.38,
+0.44,5642,20231031110000,+0.48,+0.52,+0.43,
+0.49,10136,20231031104500,+0.41,+0.51,+0.40,
+0.40,9185,20231031103000,+0.40,+0.49,+0.38,
+0.40,8452,20231031101500,+0.41,+0.43,+0.34,
+0.41,9130,20231031100000,+0.43,+0.51,+0.41,
+0.43,7692,20231031094500,+0.46,+0.48,+0.40,
+0.45,13964,20231031093000,+0.66,+0.70,+0.45,
+0.66,12164,20231031091500,+0.80,+0.84,+0.65,
+0.80,15725,20231031090000,+0.86,+0.91,+0.75,
+0.86,7674,20231031084500,+0.78,+0.94,+0.77,
0.65,609,20231030154500,0.65,0.65,0.65,
+0.66,1981,20231030153000,+0.72,+0.72,+0.66,
+0.72,7280,20231030151500,+0.74,+0.81,+0.71,
+0.75,5719,20231030150000,-0.59,+0.75,-0.59,
-0.59,4432,20231030144500,-0.57,-0.59,-0.56,
-0.57,4734,20231030143000,-0.58,-0.62,-0.57,
-0.58,4417,20231030141500,-0.57,-0.59,-0.54,
-0.57,5490,20231030140000,-0.61,-0.63,-0.55,
-0.61,2985,20231030134500,+0.66,+0.68,-0.61,
+0.66,4369,20231030133000,+0.68,+0.69,-0.61,
+0.68,3931,20231030131500,+0.76,+0.77,+0.68,
+0.76,2565,20231030130000,+0.76,+0.78,+0.75,
+0.76,2572,20231030124500,+0.77,+0.79,+0.75,
+0.77,5714,20231030123000,+0.79,+0.82,+0.76,
+0.79,5709,20231030121500,+0.71,+0.81,+0.69,
+0.72,4034,20231030120000,+0.73,+0.75,+0.68,
+0.73,2792,20231030114500,+0.70,+0.74,+0.69,
+0.70,3317,20231030113000,+0.72,+0.74,+0.69,
+0.72,5171,20231030111500,-0.62,+0.75,-0.61,
-0.62,4699,20231030110000,+0.68,+0.73,-0.60,
+0.69,4576,20231030104500,+0.69,+0.72,-0.63,
+0.69,5404,20231030103000,-0.61,+0.70,-0.61,
-0.61,5062,20231030101500,-0.58,-0.62,-0.56,
-0.59,5619,20231030100000,+0.66,+0.67,-0.59,
+0.66,7487,20231030094500,-0.53,+0.67,-0.49,
-0.53,9836,20231030093000,-0.59,+0.66,-0.53,
-0.60,11528,20231030091500,-0.60,+0.70,-0.58,
-0.60,26616,20231030090000,-0.44,0.65,-0.44,
-0.44,10800,20231030084500,-0.43,-0.51,-0.41,
0.73,238,20231027154500,0.73,0.73,0.73,
0.73,667,20231027153000,0.73,+0.75,0.73,
0.73,2795,20231027151500,0.73,+0.76,-0.71,
0.73,2454,20231027150000,0.73,+0.76,-0.70,
0.73,2084,20231027144500,-0.71,+0.75,-0.69,
-0.71,4253,20231027143000,0.73,+0.76,-0.69,
-0.72,3690,20231027141500,-0.72,+0.77,-0.68,
0.73,3935,20231027140000,+0.78,+0.78,-0.69,
+0.79,2621,20231027134500,+0.79,+0.81,+0.74,
+0.79,4204,20231027133000,-0.66,+0.81,-0.66,
-0.66,7867,20231027131500,-0.68,-0.72,-0.64,
-0.68,4243,20231027130000,-0.72,+0.75,-0.67,
-0.72,4835,20231027124500,+0.74,+0.76,-0.70,
+0.75,4866,20231027123000,+0.83,+0.84,0.73,
+0.83,4298,20231027121500,+0.90,+0.90,+0.80,
+0.90,4228,20231027120000,+0.95,+0.99,+0.89,
+0.95,2785,20231027114500,+1.03,+1.03,+0.94,
+1.02,2847,20231027113000,+0.99,+1.06,+0.99,
+0.99,3379,20231027111500,+0.95,+1.04,+0.94,
+0.95,2904,20231027110000,+0.89,+1.00,+0.88,
+0.89,4106,20231027104500,+0.91,+0.97,+0.86,
+0.91,5694,20231027103000,+0.86,+0.94,+0.80,
+0.87,5363,20231027101500,+0.80,+0.94,+0.79,
+0.81,8635,20231027100000,-0.70,+0.81,-0.70,
-0.71,5677,20231027094500,0.73,+0.83,-0.70,
0.73,8851,20231027093000,+0.79,+0.89,-0.68,
+0.79,5916,20231027091500,+0.98,+1.01,+0.79,
+0.97,12363,20231027090000,+1.05,+1.06,+0.88,
+1.05,6800,20231027084500,+0.97,+1.08,+0.91,
0.97,352,20231026154500,0.97,0.97,0.97,
+0.99,1444,20231026153000,+0.98,+1.02,-0.96,
+0.99,3230,20231026151500,+1.03,+1.05,0.97,
+1.03,4303,20231026150000,+1.08,+1.10,+0.99,
+1.08,5176,20231026144500,+1.01,+1.16,+1.00,
+1.01,3481,20231026143000,+0.99,+1.05,-0.96,
+0.99,2973,20231026141500,+0.98,+1.01,-0.96,
+0.99,3523,20231026140000,+1.04,+1.08,+0.99,
+1.04,2359,20231026134500,+1.07,+1.07,+1.02,
+1.06,2722,20231026133000,+1.06,+1.10,+1.02,
+1.06,4357,20231026131500,+1.06,+1.09,+1.01,
+1.05,3320,20231026130000,+1.12,+1.14,+1.05,
+1.11,1693,20231026124500,+1.13,+1.16,+1.11,
+1.13,2485,20231026123000,+1.11,+1.21,+1.11,
+1.12,2202,20231026121500,+1.13,+1.14,+1.08,
+1.12,1833,20231026120000,+1.14,+1.18,+1.11,
+1.14,2829,20231026114500,+1.19,+1.24,+1.13,
+1.19,2692,20231026113000,+1.14,+1.19,+1.11,
+1.15,5200,20231026111500,+1.24,+1.25,+1.12,
+1.24,2254,20231026110000,+1.29,+1.33,+1.23,
+1.29,3598,20231026104500,+1.52,+1.52,+1.27,
+1.53,3263,20231026103000,+1.31,+1.54,+1.29,
+1.31,3056,20231026101500,+1.34,+1.39,+1.30,
+1.34,3661,20231026100000,+1.35,+1.41,+1.28,
+1.35,3877,20231026094500,+1.44,+1.49,+1.31,
+1.45,7045,20231026093000,+1.50,+1.54,+1.29,
+1.51,5959,20231026091500,+1.72,+1.72,+1.50,
+1.71,8378,20231026090000,+1.52,+1.77,+1.46,
+1.52,5257,20231026084500,+1.63,+1.73,+1.48,
3.12,41,20231025154500,3.12,3.12,3.12,
-3.10,236,20231025153000,-3.10,+3.14,-3.06,
3.12,627,20231025151500,+3.13,+3.16,-3.06,
+3.14,847,20231025150000,+3.31,+3.36,3.12,
+3.32,1032,20231025144500,+3.21,+3.32,+3.16,
+3.22,1181,20231025143000,+3.34,+3.40,-3.11,
+3.34,430,20231025141500,+3.61,+3.61,+3.34,
+3.59,612,20231025140000,+3.42,+3.63,+3.41,
+3.43,864,20231025134500,+3.47,+3.48,+3.31,
+3.46,759,20231025133000,+3.36,+3.47,+3.31,
+3.36,1013,20231025131500,+3.25,+3.38,-3.07,
+3.25,489,20231025130000,+3.35,+3.37,+3.21,
+3.38,299,20231025124500,+3.32,+3.43,+3.32,
+3.33,470,20231025123000,+3.47,+3.49,+3.30,
+3.45,655,20231025121500,+3.52,+3.57,+3.38,
+3.52,1004,20231025120000,+3.74,+3.91,+3.49,
+3.73,431,20231025114500,+3.78,+3.93,+3.69,
+3.77,531,20231025113000,+3.93,+3.93,+3.72,
+3.94,763,20231025111500,+3.84,+3.99,+3.73,
+3.85,991,20231025110000,+3.85,+3.93,+3.72,
+3.85,1049,20231025104500,+3.56,+3.87,+3.45,
+3.58,1449,20231025103000,+3.42,+3.64,+3.30,
+3.43,1290,20231025101500,+3.60,+3.76,+3.37,
+3.60,624,20231025100000,+3.64,+3.76,+3.51,
+3.64,897,20231025094500,+3.65,+3.89,+3.56,
+3.65,1250,20231025093000,+3.98,+4.08,+3.57,
+4.00,1064,20231025091500,+4.01,+4.40,+3.83,
+4.03,2739,20231025090000,+4.50,+4.50,+3.89,
+4.50,1602,20231025084500,+4.45,+4.65,+4.23,
4.18,69,20231024154500,4.18,4.18,4.18,
+4.24,190,20231024153000,+4.22,+4.24,-4.17,
+4.25,469,20231024151500,-4.16,+4.25,-4.06,
4.18,595,20231024150000,-3.94,4.18,-3.91,
-3.95,1172,20231024144500,-3.96,-4.08,-3.85,
-3.96,1698,20231024143000,-3.87,-4.17,-3.87,
-3.86,1194,20231024141500,-3.93,-3.96,-3.67,
-3.92,1780,20231024140000,-3.44,-3.97,-3.43,
-3.44,1451,20231024134500,-3.12,-3.44,-3.09,
-3.11,1081,20231024133000,-2.88,-3.18,-2.87,
-2.89,1126,20231024131500,-2.72,-2.99,-2.70,
-2.74,683,20231024130000,-2.75,-2.80,-2.60,
-2.75,447,20231024124500,-2.80,-2.85,-2.68,
-2.81,1030,20231024123000,-2.65,-2.82,-2.61,
-2.64,1772,20231024121500,-2.67,-2.88,-2.61,
-2.67,1351,20231024120000,-2.93,-3.00,-2.67,
-2.94,1786,20231024114500,-3.26,-3.26,-2.94,
-3.25,2789,20231024113000,-3.12,-3.33,-3.04,
-3.11,4276,20231024111500,-2.45,-3.12,-2.42,
-2.44,2824,20231024110000,-2.12,-2.44,-2.10,
-2.13,2134,20231024104500,-2.02,-2.13,-1.97,
-2.02,4757,20231024103000,-2.16,-2.22,-1.95,
-2.15,3323,20231024101500,-2.76,-2.80,-2.15,
-2.77,1502,20231024100000,-2.91,-2.98,-2.73,
-2.90,1177,20231024094500,-3.10,-3.12,-2.86,
-3.09,1326,20231024093000,-3.25,-3.35,-2.99,
-3.28,1502,20231024091500,-3.45,-3.52,-3.08,
-3.47,1307,20231024090000,-3.86,-3.87,-3.34,
-3.92,941,20231024084500,-3.70,-3.92,-3.50,
3.31,45,20231023154500,3.31,3.31,3.31,
+3.36,197,20231023153000,-3.29,+3.41,-3.29,
-3.30,752,20231023151500,-3.25,+3.44,-3.25,
-3.26,840,20231023150000,-3.27,+3.38,-3.17,
-3.26,642,20231023144500,-3.23,+3.32,-3.21,
-3.21,362,20231023143000,-3.26,+3.33,-3.21,
-3.26,832,20231023141500,-3.22,+3.37,-3.17,
-3.21,535,20231023140000,-3.27,+3.41,-3.20,
-3.29,567,20231023134500,-3.29,+3.33,-3.23,
-3.30,741,20231023133000,+3.52,+3.55,-3.27,
+3.51,350,20231023131500,+3.64,+3.66,+3.50,
+3.64,519,20231023130000,+3.41,+3.65,+3.39,
+3.41,286,20231023124500,+3.49,+3.55,+3.40,
+3.50,364,20231023123000,+3.49,+3.55,+3.41,
+3.48,372,20231023121500,+3.53,+3.53,+3.44,
+3.53,843,20231023120000,+3.37,+3.54,3.31,
+3.36,762,20231023114500,+3.47,+3.52,+3.36,
+3.46,953,20231023113000,+3.59,+3.69,+3.44,
