현재가,거래량,체결시간,시가,고가,저가,전일종가
6.28,3,20231102144500,+6.31,+6.31,6.28,
+6.37,29,20231102143000,+6.40,+6.40,+6.30,
+6.39,10,20231102141500,+6.33,+6.43,+6.33,
-6.21,12,20231102140000,-6.21,-6.21,-6.10,
-6.07,7,20231102134500,-6.10,-6.12,-6.06,
-6.27,13,20231102133000,+6.32,+6.34,-6.27,
6.28,1,20231102131500,6.28,6.28,6.28,
+6.37,1,20231102130000,+6.37,+6.37,+6.37,
+6.45,4,20231102124500,+6.31,+6.49,+6.31,
+6.32,2,20231102123000,+6.35,+6.35,+6.32,
+6.36,2,20231102121500,+6.41,+6.41,+6.36,
-6.19,7,20231102120000,-6.22,-6.27,-6.19,
-6.14,11,20231102114500,-6.14,-6.14,-5.97,
-6.20,4,20231102113000,-6.18,-6.20,-6.18,
+6.40,7,20231102111500,+6.68,+6.69,+6.40,
+6.64,86,20231102110000,+6.89,+6.91,+6.49,
+6.84,17,20231102104500,+6.93,+6.94,+6.84,
+6.99,34,20231102103000,+6.80,+6.99,+6.80,
+6.90,14,20231102101500,+7.00,+7.02,+6.90,
+6.51,8,20231102100000,+6.48,+6.55,+6.44,
+6.66,1,20231102094500,+6.66,+6.66,+6.66,
+6.50,29,20231102093000,+6.35,+6.50,+6.35,
+6.48,68,20231102091500,+6.54,+6.62,+6.48,
+6.46,2,20231102090000,-6.18,+6.46,-6.18,
+6.56,5,20231102084500,+6.53,+6.62,+6.53,
4.48,1,20231101154500,4.48,4.48,4.48,
-4.34,7,20231101153000,-4.42,-4.42,-4.33,
-4.45,1,20231101150000,-4.45,-4.45,-4.45,
-4.33,13,20231101143000,-4.35,-4.37,-4.33,
-4.36,15,20231101141500,-4.24,-4.40,-4.24,
-4.08,5,20231101140000,-4.03,-4.08,-4.03,
-4.32,3,20231101134500,-4.32,-4.32,-4.32,
-4.29,5,20231101133000,-4.18,-4.29,-4.18,
-4.24,8,20231101124500,-4.31,-4.31,-4.24,
-4.44,2,20231101123000,-4.45,-4.45,-4.44,
-4.15,1,20231101121500,-4.15,-4.15,-4.15,
-4.20,3,20231101114500,-4.27,-4.32,-4.20,
-4.28,12,20231101113000,-4.21,-4.28,-4.18,
-3.82,5,20231101110000,-3.78,-3.82,-3.78,
-3.70,2,20231101104500,-3.70,-3.70,-3.70,
-4.00,2,20231101103000,-3.79,-4.00,-3.79,
-4.00,4,20231101101500,-4.00,-4.00,-4.00,
-4.22,5,20231101100000,-4.13,-4.22,-4.13,
-4.23,13,20231101094500,-4.32,-4.32,-4.13,
-4.23,13,20231101093000,+4.55,+4.55,-4.21,
-4.40,16,20231101091500,+4.61,+4.70,-4.39,
+4.60,21,20231101090000,-3.90,+4.60,-3.90,
-3.70,3,20231101084500,-3.53,-3.70,-3.53,
3.42,1,20231031154500,3.42,3.42,3.42,
-3.32,1,20231031153000,-3.32,-3.32,-3.32,
-3.25,1,20231031151500,-3.25,-3.25,-3.25,
-3.23,22,20231031150000,-3.30,-3.30,-3.22,
-3.37,3,20231031144500,-3.36,-3.37,-3.36,
-3.35,15,20231031143000,-3.27,-3.35,-3.23,
-3.25,6,20231031141500,-3.20,-3.29,-3.20,
-3.35,28,20231031140000,-3.31,-3.36,-3.31,
-3.41,15,20231031134500,-3.40,+3.45,-3.34,
