,날짜,야간 변동률
0,2022-10-17,0.16
1,2022-10-18,0.08
2,2022-10-19,0.045
3,2022-10-20,0.03
4,2022-10-21,0.081
5,2022-10-24,0.244
6,2022-10-25,0.025
7,2022-10-26,0.031
8,2022-10-27,0.051
9,2022-10-28,0.097
10,2022-10-31,0.061
11,2022-11-01,0.102
12,2022-11-02,0.087
13,2022-11-03,0.893
14,2022-11-04,0.046
15,2022-11-07,0.64
16,2022-11-08,0.114
17,2022-11-09,0.011
18,2022-11-10,0.032
19,2022-11-11,0.064
20,2022-11-14,0.465
21,2022-11-15,0.075
22,2022-11-16,0.037
23,2022-11-17,0.08
24,2022-11-18,0.043
25,2022-11-21,0.143
26,2022-11-22,0.042
27,2022-11-23,0.042
28,2022-11-24,0.054
29,2022-11-25,0.124
30,2022-11-28,0.129
31,2022-11-29,0.145
32,2022-11-30,0.059
33,2022-12-01,0.071
34,2022-12-02,0.054
35,2022-12-05,0.108
36,2022-12-06,0.037
37,2022-12-07,0.064
38,2022-12-08,0.053
39,2022-12-09,0.111
40,2022-12-12,0.043
41,2022-12-13,0.075
42,2022-12-14,0.059
43,2022-12-15,0.054
44,2022-12-16,0.106
45,2022-12-19,0.192
46,2022-12-20,0.064
47,2022-12-21,0.054
48,2022-12-22,0.098
49,2022-12-23,0.043
50,2022-12-26,0.049
51,2022-12-27,0.098
52,2022-12-28,0.038
53,2022-12-29,0.044
54,2022-12-30,0.05
55,2023-01-02,0.104
56,2023-01-03,0.092
57,2023-01-04,0.065
58,2023-01-05,0.049
59,2023-01-06,0.054
60,2023-01-09,0.104
61,2023-01-10,0.071
62,2023-01-11,0.06
63,2023-01-12,0.005
64,2023-01-13,0.065
65,2023-01-16,0.016
66,2023-01-17,0.054
67,2023-01-18,0.022
68,2023-01-19,0.082
69,2023-01-20,0.077
70,2023-01-23,0.155
71,2023-01-24,0.061
72,2023-01-25,0.066
73,2023-01-26,0.066
74,2023-01-27,0.066
75,2023-01-30,0.072
76,2023-01-31,0.055
77,2023-02-01,0.044
78,2023-02-02,0.017
79,2023-02-03,0.088
80,2023-02-06,0.011
81,2023-02-07,0.146
82,2023-02-08,0.032
83,2023-02-09,0.059
84,2023-02-10,0.07
85,2023-02-13,-0.054
86,2023-02-14,0.059
87,2023-02-15,0.027
88,2023-02-16,0.075
89,2023-02-17,0.059
90,2023-02-20,0.154
91,2023-02-21,0.048
92,2023-02-22,0.079
93,2023-02-23,0.053
94,2023-02-24,0.021
95,2023-02-27,0.037
96,2023-02-28,0.105
97,2023-03-01,0.047
98,2023-03-02,0.079
99,2023-03-03,0.074
100,2023-03-06,-0.091
101,2023-03-07,0.086
102,2023-03-08,0.063
103,2023-03-09,0.058
104,2023-03-10,0.047
105,2023-03-13,-0.026
106,2023-03-14,0.042
107,2023-03-15,0.079
108,2023-03-16,0.037
109,2023-03-17,0.101
110,2023-03-20,0.079
111,2023-03-21,-0.016
112,2023-03-22,0.053
113,2023-03-23,-0.016
114,2023-03-24,0.048
115,2023-03-27,0.053
116,2023-03-28,0.053
117,2023-03-29,0.042
118,2023-03-30,0.153
119,2023-03-31,0.048
120,2023-04-03,0.047
121,2023-04-04,0.021
122,2023-04-05,0.063
123,2023-04-06,0.052
124,2023-04-07,0.047
125,2023-04-10,0.037
126,2023-04-11,0.042
127,2023-04-12,0.036
128,2023-04-13,0.062
129,2023-04-14,0.058
130,2023-04-17,0.063
131,2023-04-18,0.047
132,2023-04-19,0.036
133,2023-04-20,0.041
134,2023-04-21,0.042
135,2023-04-24,0.099
136,2023-04-25,0.041
137,2023-04-26,0.036
