,날짜,변동 %,당일 변동률
0,2023-04-03,1.74,1.582
1,2023-04-04,-0.27,0.357
2,2023-04-05,-0.52,-0.673
3,2023-04-06,-1.07,-0.703
4,2023-04-10,0.76,1.247
5,2023-04-11,-0.03,0.912
6,2023-04-12,-0.43,-0.4
7,2023-04-13,-0.85,-1.499
8,2023-04-14,1.99,1.407
9,2023-04-17,-0.35,0.046
10,2023-04-18,0.28,0.409
11,2023-04-19,-0.04,-0.663
12,2023-04-20,0.03,0.775
13,2023-04-21,-0.8,0.17
14,2023-04-24,0.11,0.219
15,2023-04-25,-0.29,-0.135
16,2023-04-26,-1.98,-1.417
17,2023-04-27,0.47,-0.494
18,2023-04-28,2.43,1.421
19,2023-05-01,0.69,0.9
20,2023-05-02,-0.11,0.021
21,2023-05-03,-1.08,-0.963
22,2023-05-04,-0.46,-0.593
23,2023-05-05,-0.49,-0.258
24,2023-05-08,2.25,1.345
25,2023-05-09,0.18,0.206
26,2023-05-10,-0.63,-0.133
27,2023-05-11,1.04,0.161
28,2023-05-12,0.18,0.059
29,2023-05-15,-0.35,-0.533
30,2023-05-16,0.66,0.521
31,2023-05-17,-0.18,0.13
32,2023-05-18,1.28,0.904
33,2023-05-19,1.51,1.398
34,2023-05-22,-0.24,-0.406
35,2023-05-23,0.5,0.445
36,2023-05-24,-1.26,-0.732
37,2023-05-25,-0.61,0.018
38,2023-05-26,1.71,-0.066
39,2023-05-30,2.19,1.879
40,2023-05-31,0.32,-0.699
41,2023-06-01,-0.63,-0.255
42,2023-06-02,1.28,1.209
43,2023-06-05,1.07,0.381
44,2023-06-06,-0.09,-0.068
45,2023-06-07,0.36,0.582
46,2023-06-08,-1.29,-1.432
47,2023-06-09,1.02,0.955
48,2023-06-12,0.16,-0.4
49,2023-06-13,1.53,1.017
50,2023-06-14,0.83,0.05
51,2023-06-15,0.39,0.412
52,2023-06-16,1.15,1.547
53,2023-06-20,-0.68,-1.223
54,2023-06-21,-0.16,0.183
55,2023-06-22,-1.21,-0.871
56,2023-06-23,0.95,1.393
57,2023-06-26,-1.01,0.062
58,2023-06-27,-1.16,-0.987
59,2023-06-28,1.65,1.243
60,2023-06-29,0.27,0.635
61,2023-06-30,0.0,-0.008
62,2023-07-03,1.45,0.495
63,2023-07-05,0.21,0.131
64,2023-07-06,-0.18,0.142
65,2023-07-07,-0.82,0.189
66,2023-07-10,-0.13,-0.054
67,2023-07-11,0.18,0.294
68,2023-07-12,0.55,0.371
69,2023-07-13,1.15,0.024
70,2023-07-14,1.58,0.837
71,2023-07-17,-0.18,-0.374
72,2023-07-18,0.93,0.672
73,2023-07-19,0.76,0.995
74,2023-07-20,0.03,-0.281
75,2023-07-21,-2.05,-1.471
76,2023-07-24,-0.22,-0.815
77,2023-07-25,0.19,-0.162
78,2023-07-26,0.61,0.364
79,2023-07-27,-0.12,0.027
80,2023-07-28,-0.55,-1.879
81,2023-07-31,1.9,0.823
82,2023-08-01,0.21,0.057
83,2023-08-02,-0.43,0.063
84,2023-08-03,-2.17,-1.127
85,2023-08-04,-0.1,0.431
86,2023-08-07,-0.36,-0.832
87,2023-08-08,0.61,0.157
88,2023-08-09,-0.79,0.064
89,2023-08-10,-1.17,-1.263
90,2023-08-11,0.12,-0.581
91,2023-08-14,-0.68,0.082
92,2023-08-15,1.05,1.392
93,2023-08-16,-1.14,-0.941
94,2023-08-17,-1.15,-0.872
95,2023-08-18,-1.17,-1.555
96,2023-08-21,-0.2,0.764
97,2023-08-22,1.56,1.126
98,2023-08-23,0.06,-0.648
99,2023-08-24,1.59,1.394
100,2023-08-25,-1.87,-2.677
101,2023-08-28,0.94,0.564
102,2023-08-29,0.84,0.071
103,2023-08-30,1.74,1.874
104,2023-08-31,0.54,0.412
105,2023-09-01,0.11,-0.047
106,2023-09-05,-0.02,-0.695
107,2023-09-06,-0.08,0.189
108,2023-09-07,-1.06,-0.832
109,2023-09-08,-0.89,0.539
110,2023-09-11,0.09,0.05
111,2023-09-12,1.14,0.244
112,2023-09-13,-1.04,-0.616
113,2023-09-14,0.29,0.29
114,2023-09-15,0.81,0.261
115,2023-09-18,-1.56,-1.302
116,2023-09-19,0.01,0.295
117,2023-09-20,-0.23,0.211
118,2023-09-21,-1.53,-1.759
119,2023-09-22,-1.82,-0.781
120,2023-09-25,-0.09,-0.567
121,2023-09-26,0.45,0.75
122,2023-09-27,-1.57,-0.89
123,2023-09-28,0.22,-0.172
124,2023-09-29,0.83,1.211
125,2023-10-02,0.14,-0.888
126,2023-10-03,0.67,0.679
127,2023-10-04,-1.87,-1.287
128,2023-10-05,1.35,1.093
129,2023-10-06,-0.12,-0.063
130,2023-10-09,1.6,2.313
131,2023-10-10,0.39,1.186
132,2023-10-11,0.58,0.422
133,2023-10-12,0.71,0.297
134,2023-10-13,-0.63,-0.719
135,2023-10-16,-1.23,-1.516
136,2023-10-17,1.2,0.849
137,2023-10-18,-0.25,0.849
138,2023-10-19,-1.62,-0.933
139,2023-10-20,-0.96,-1.263
