,날짜,변동 %,당일 변동률
0,2022-10-17,-3.08,-3.923
1,2022-10-18,3.43,0.947
2,2022-10-19,0.9,-1.747
3,2022-10-20,-0.85,-0.082
4,2022-10-21,-0.61,-0.399
5,2022-10-24,2.31,2.682
6,2022-10-25,0.86,0.787
7,2022-10-26,2.25,1.838
8,2022-10-27,-2.04,0.018
9,2022-10-28,-1.63,-1.634
10,2022-10-31,2.87,3.123
11,2022-11-01,-1.03,-0.365
12,2022-11-02,-0.89,-2.366
13,2022-11-03,-3.36,-3.309
14,2022-11-04,-1.73,-0.543
15,2022-11-07,1.28,-0.691
16,2022-11-08,0.85,0.452
17,2022-11-09,0.49,0.044
18,2022-11-10,-2.48,-1.665
19,2022-11-11,7.35,2.254
20,2022-11-14,1.88,1.785
21,2022-11-15,-1.12,-0.335
22,2022-11-16,1.45,-1.014
23,2022-11-17,-1.54,-0.679
24,2022-11-18,-0.35,1.238
25,2022-11-21,0.01,-0.986
26,2022-11-22,-1.09,-0.6
27,2022-11-23,1.36,1.048
28,2022-11-25,0.99,0.991
29,2022-11-28,-0.52,-0.041
30,2022-11-29,-1.58,-0.88
31,2022-11-30,-0.59,-0.689
32,2022-12-01,4.41,4.3
33,2022-12-02,0.13,0.063
34,2022-12-05,-0.18,1.354
35,2022-12-06,-1.93,-1.239
36,2022-12-07,-2.0,-1.902
37,2022-12-08,-0.51,-0.049
38,2022-12-09,1.13,0.642
39,2022-12-12,-0.7,-0.304
40,2022-12-13,1.26,1.164
41,2022-12-14,1.01,-2.478
42,2022-12-15,-0.76,-0.686
43,2022-12-16,-3.23,-1.835
44,2022-12-19,-0.97,-0.578
45,2022-12-20,-1.49,-1.507
46,2022-12-21,0.01,0.536
47,2022-12-22,1.54,1.108
48,2022-12-23,-2.18,-1.042
49,2022-12-27,0.21,0.576
50,2022-12-28,-1.38,-1.041
51,2022-12-29,-1.35,-1.218
52,2022-12-30,2.59,1.518
53,2023-01-03,-0.11,0.946
54,2023-01-04,-0.76,-1.658
55,2023-01-05,0.69,-0.087
