,일자,P/C Ratio,CALL_change,PUT_change,CALL_fluc,PUT_fluc
0,2023-04-03,1.01,-3.922,-9.261,-29567.0,-74646.0
1,2023-04-04,1.07,-11.483,-6.262,-83178.0,-45804.0
2,2023-04-05,1.08,-1.977,-1.047,-12675.0,-7175.0
3,2023-04-06,1.13,-7.843,-3.435,-49291.0,-23306.0
4,2023-04-07,0.96,60.01,36.46,347586.0,238864.0
5,2023-04-10,0.87,23.621,12.024,218916.0,107494.0
6,2023-04-11,0.79,43.844,29.791,502320.0,298358.0
7,2023-04-12,0.82,25.224,29.671,415705.0,385678.0
8,2023-04-13,0.84,3.205,6.251,66136.0,105356.0
9,2023-04-14,0.98,-8.932,5.982,-190239.0,107137.0
10,2023-04-17,1.04,-73.389,-71.739,-1423478.0,-1361614.0
11,2023-04-18,0.8,-14.979,-34.367,-77313.0,-184350.0
12,2023-04-19,0.9,12.23,26.174,53671.0,92147.0
13,2023-04-20,0.99,-7.478,1.962,-36830.0,8716.0
14,2023-04-21,0.84,17.601,-0.233,80204.0,-1057.0
15,2023-04-24,0.86,-5.704,-3.451,-30567.0,-15592.0
16,2023-04-25,0.85,-1.615,-2.944,-8163.0,-12844.0
17,2023-04-26,1.01,81.356,114.709,404465.0,485714.0
18,2023-04-27,0.82,-29.155,-42.443,-262869.0,-385866.0
19,2023-04-28,0.86,21.021,26.778,134272.0,140122.0
20,2023-05-02,0.92,10.691,19.019,82647.0,126173.0
21,2023-05-03,0.98,-11.743,-6.164,-100482.0,-48673.0
22,2023-05-04,1.11,-21.947,-11.783,-165745.0,-87299.0
23,2023-05-08,0.85,36.055,4.316,212525.0,28208.0
24,2023-05-09,1.01,26.506,50.733,212572.0,345905.0
25,2023-05-10,0.89,6.698,-6.274,67952.0,-64479.0
26,2023-05-11,0.97,13.52,24.145,146355.0,232576.0
27,2023-05-12,0.94,37.672,32.776,462935.0,391934.0
28,2023-05-15,0.97,-69.537,-68.549,-1176419.0,-1088386.0
29,2023-05-16,0.98,-1.338,0.046,-6895.0,229.0
30,2023-05-17,1.18,10.533,32.765,53556.0,163689.0
31,2023-05-18,0.92,-17.689,-35.713,-99416.0,-236874.0
32,2023-05-19,0.82,49.182,33.434,227519.0,142564.0
33,2023-05-22,0.57,47.051,1.015,324712.0,5773.0
34,2023-05-23,0.63,7.91,20.393,80271.0,117208.0
35,2023-05-24,0.77,-31.685,-17.221,-346987.0,-119160.0
36,2023-05-25,0.75,-8.394,-10.236,-62797.0,-58629.0
37,2023-05-26,0.97,15.705,49.28,107628.0,253377.0
38,2023-05-30,0.81,-17.314,-31.091,-137295.0,-238634.0
39,2023-05-31,0.81,44.125,44.624,289313.0,236018.0
40,2023-06-01,0.85,-10.646,-6.637,-100603.0,-50768.0
41,2023-06-02,0.96,11.679,26.857,98618.0,191802.0
42,2023-06-05,0.83,36.437,18.055,343597.0,163567.0
43,2023-06-07,0.93,4.437,16.707,57092.0,178689.0
44,2023-06-08,0.94,-2.057,-1.095,-27644.0,-13670.0
45,2023-06-09,0.94,31.274,30.976,411581.0,382416.0
