,날짜,변동 %,당일 변동률
0,2023-04-03,1.44,1.31
1,2023-04-04,0.37,0.544
2,2023-04-05,-0.58,-0.664
3,2023-04-06,-0.25,-0.101
4,2023-04-10,0.36,0.585
5,2023-04-11,0.1,0.585
6,2023-04-12,0.0,-0.033
7,2023-04-13,-0.41,-0.722
8,2023-04-14,1.33,1.126
9,2023-04-17,-0.21,-0.06
10,2023-04-18,0.33,0.342
11,2023-04-19,0.09,-0.225
12,2023-04-20,-0.01,0.367
13,2023-04-21,-0.6,-0.017
14,2023-04-24,0.09,0.033
15,2023-04-25,0.09,0.12
16,2023-04-26,-1.58,-1.328
17,2023-04-27,-0.38,-0.778
18,2023-04-28,1.96,1.474
19,2023-05-01,0.83,0.965
20,2023-05-02,-0.04,0.026
21,2023-05-03,-1.16,-1.069
22,2023-05-04,-0.7,-0.764
23,2023-05-05,-0.72,-0.522
24,2023-05-08,1.85,1.261
25,2023-05-09,0.05,0.028
26,2023-05-10,-0.46,-0.123
27,2023-05-11,0.45,-0.147
28,2023-05-12,-0.17,-0.039
29,2023-05-15,-0.16,-0.349
30,2023-05-16,0.3,0.233
31,2023-05-17,-0.64,-0.437
32,2023-05-18,1.19,0.871
33,2023-05-19,0.94,0.971
34,2023-05-22,-0.14,-0.289
35,2023-05-23,0.02,0.044
36,2023-05-24,-1.12,-0.747
37,2023-05-25,-0.73,-0.429
38,2023-05-26,0.88,-0.107
39,2023-05-30,1.3,1.186
40,2023-05-31,0.0,-0.501
41,2023-06-01,-0.61,-0.26
42,2023-06-02,0.99,0.908
43,2023-06-05,1.45,0.975
44,2023-06-06,-0.2,-0.215
45,2023-06-07,0.24,0.293
46,2023-06-08,-0.38,-0.419
47,2023-06-09,0.62,0.591
48,2023-06-12,0.11,-0.14
49,2023-06-13,0.93,0.71
50,2023-06-14,0.69,0.377
51,2023-06-15,0.08,0.144
52,2023-06-16,1.22,1.386
53,2023-06-20,-0.37,-0.706
54,2023-06-21,-0.47,-0.168
55,2023-06-22,-0.52,-0.327
56,2023-06-23,0.37,0.608
57,2023-06-26,-0.77,-0.134
58,2023-06-27,-0.45,-0.369
59,2023-06-28,1.15,0.946
60,2023-06-29,-0.04,0.215
61,2023-06-30,0.45,0.491
62,2023-07-03,1.23,0.632
63,2023-07-05,0.12,0.115
64,2023-07-06,-0.2,0.108
65,2023-07-07,-0.79,-0.249
66,2023-07-10,-0.29,-0.127
67,2023-07-11,0.24,0.348
68,2023-07-12,0.67,0.537
69,2023-07-13,0.74,0.1
70,2023-07-14,0.85,0.413
71,2023-07-17,-0.1,-0.204
72,2023-07-18,0.39,0.309
73,2023-07-19,0.71,0.734
74,2023-07-20,0.24,0.041
75,2023-07-21,-0.68,-0.428
76,2023-07-24,0.03,-0.304
77,2023-07-25,0.4,0.248
78,2023-07-26,0.28,0.269
79,2023-07-27,-0.02,0.171
80,2023-07-28,-0.64,-1.323
81,2023-07-31,0.99,0.361
82,2023-08-01,0.15,0.09
83,2023-08-02,-0.27,-0.046
84,2023-08-03,-1.38,-0.825
85,2023-08-04,-0.25,0.17
86,2023-08-07,-0.53,-0.796
87,2023-08-08,0.9,0.598
88,2023-08-09,-0.42,0.03
89,2023-08-10,-0.7,-0.752
90,2023-08-11,0.03,-0.408
91,2023-08-14,-0.11,0.3
92,2023-08-15,0.58,0.709
93,2023-08-16,-1.16,-0.916
94,2023-08-17,-0.76,-0.664
95,2023-08-18,-0.77,-1.041
96,2023-08-21,-0.01,0.571
97,2023-08-22,0.69,0.445
98,2023-08-23,-0.28,-0.629
99,2023-08-24,1.1,0.9
100,2023-08-25,-1.35,-1.77
101,2023-08-28,0.67,0.372
102,2023-08-29,0.63,0.164
103,2023-08-30,1.45,1.464
104,2023-08-31,0.38,0.323
105,2023-09-01,-0.16,-0.207
106,2023-09-05,0.18,-0.327
107,2023-09-06,-0.42,-0.293
108,2023-09-07,-0.7,-0.554
109,2023-09-08,-0.32,0.374
110,2023-09-11,0.14,0.139
111,2023-09-12,0.67,0.145
112,2023-09-13,-0.57,-0.254
113,2023-09-14,0.12,0.107
114,2023-09-15,0.84,0.386
115,2023-09-18,-1.22,-1.06
116,2023-09-19,0.07,0.189
117,2023-09-20,-0.22,-0.033
118,2023-09-21,-0.94,-1.137
119,2023-09-22,-1.64,-1.014
120,2023-09-25,-0.23,-0.499
121,2023-09-26,0.4,0.622
122,2023-09-27,-1.47,-0.912
123,2023-09-28,0.02,-0.19
124,2023-09-29,0.59,0.704
125,2023-10-02,-0.27,-0.927
126,2023-10-03,0.01,0.09
127,2023-10-04,-1.37,-0.944
128,2023-10-05,0.81,0.707
129,2023-10-06,-0.13,-0.026
130,2023-10-09,1.18,1.741
131,2023-10-10,0.63,1.087
132,2023-10-11,0.52,0.426
133,2023-10-12,0.43,0.237
134,2023-10-13,-0.62,-0.715
135,2023-10-16,-0.5,-0.75
136,2023-10-17,1.06,0.72
137,2023-10-18,-0.01,0.644
138,2023-10-19,-1.34,-0.981
139,2023-10-20,-0.85,-1.003
