,날짜,변동 %,당일 변동률
0,2022-10-17,-2.37,-2.909
1,2022-10-18,2.65,1.08
2,2022-10-19,1.14,-0.701
3,2022-10-20,-0.67,-0.215
4,2022-10-21,-0.8,-0.631
5,2022-10-24,2.37,2.615
6,2022-10-25,1.19,0.939
7,2022-10-26,1.63,1.57
8,2022-10-27,-0.74,0.121
9,2022-10-28,-0.61,-0.714
10,2022-10-31,2.46,2.437
11,2022-11-01,-0.75,-0.254
12,2022-11-02,-0.41,-1.171
13,2022-11-03,-2.5,-2.419
14,2022-11-04,-1.06,-0.358
15,2022-11-07,1.36,0.095
16,2022-11-08,0.96,0.69
17,2022-11-09,0.56,0.291
18,2022-11-10,-2.08,-1.637
19,2022-11-11,5.54,2.5
20,2022-11-14,0.92,0.737
21,2022-11-15,-0.89,-0.521
22,2022-11-16,0.87,-0.366
23,2022-11-17,-0.83,-0.453
24,2022-11-18,-0.31,0.697
25,2022-11-21,0.48,-0.026
26,2022-11-22,-0.39,-0.159
27,2022-11-23,1.36,0.96
28,2022-11-25,0.59,0.674
29,2022-11-28,-0.03,0.069
30,2022-11-29,-1.54,-1.034
31,2022-11-30,-0.16,-0.165
32,2022-12-01,3.09,3.107
33,2022-12-02,-0.09,-0.259
34,2022-12-05,-0.12,0.78
35,2022-12-06,-1.79,-1.312
36,2022-12-07,-1.44,-1.385
37,2022-12-08,-0.19,0.016
38,2022-12-09,0.75,0.398
39,2022-12-12,-0.73,-0.5
40,2022-12-13,1.43,1.302
41,2022-12-14,0.73,-1.222
42,2022-12-15,-0.61,-0.504
43,2022-12-16,-2.49,-1.582
44,2022-12-19,-1.11,-0.991
45,2022-12-20,-0.9,-0.938
46,2022-12-21,0.1,0.293
47,2022-12-22,1.49,1.014
48,2022-12-23,-1.45,-0.801
49,2022-12-27,0.59,0.779
50,2022-12-28,-0.4,-0.367
51,2022-12-29,-1.2,-1.21
52,2022-12-30,1.75,1.152
53,2023-01-03,-0.25,0.273
54,2023-01-04,-0.4,-0.756
55,2023-01-05,0.75,0.328
56,2023-01-06,-1.16,-0.824
57,2023-01-09,2.28,1.876
58,2023-01-10,-0.08,-0.479
59,2023-01-11,0.7,0.789
60,2023-01-12,1.28,0.948
61,2023-01-13,0.34,0.141
62,2023-01-17,0.4,0.972
63,2023-01-18,-0.2,-0.208
64,2023-01-19,-1.56,-1.834
65,2023-01-20,-0.76,-0.332
66,2023-01-23,1.89,1.626
67,2023-01-24,1.19,1.047
68,2023-01-25,-0.07,0.38
69,2023-01-26,-0.02,0.841
70,2023-01-27,1.1,0.603
71,2023-01-30,0.25,0.415
72,2023-01-31,-1.3,-0.778
73,2023-02-01,1.46,1.387
74,2023-02-02,1.05,1.207
75,2023-02-03,1.47,0.507
76,2023-02-06,-1.04,-0.005
77,2023-02-07,-0.61,-0.206
78,2023-02-08,1.29,1.429
79,2023-02-09,-1.11,-0.857
80,2023-02-10,-0.88,-1.514
81,2023-02-13,0.22,0.529
82,2023-02-14,1.14,0.993
83,2023-02-15,-0.03,0.229
84,2023-02-16,0.28,0.682
85,2023-02-17,-1.38,-0.592
86,2023-02-21,-0.28,0.042
87,2023-02-22,-2.0,-1.357
88,2023-02-23,-0.16,-0.269
89,2023-02-24,0.53,-0.156
90,2023-02-27,-1.05,-0.081
91,2023-02-28,0.31,-0.253
92,2023-03-01,-0.3,-0.177
93,2023-03-02,-0.47,-0.302
94,2023-03-03,0.76,1.083
95,2023-03-06,1.61,1.191
96,2023-03-07,0.07,-0.166
97,2023-03-08,-1.53,-1.529
98,2023-03-09,0.14,0.112
99,2023-03-10,-1.85,-2.009
100,2023-03-13,-1.45,-1.308
101,2023-03-14,-0.15,0.538
102,2023-03-15,1.68,0.682
103,2023-03-16,-0.73,0.392
104,2023-03-17,1.76,2.097
105,2023-03-20,-1.1,-1.062
106,2023-03-21,0.89,0.87
107,2023-03-22,1.3,0.679
108,2023-03-23,-1.65,-1.626
109,2023-03-24,0.3,-0.265
110,2023-03-27,0.56,0.807
111,2023-03-28,0.16,-0.136
112,2023-03-29,-0.16,-0.072
113,2023-03-30,1.42,0.707
114,2023-03-31,0.57,0.101
115,2023-04-03,1.44,1.31
116,2023-04-04,0.37,0.544
117,2023-04-05,-0.58,-0.664
118,2023-04-06,-0.25,-0.101
119,2023-04-10,0.36,0.585
120,2023-04-11,0.1,0.585
121,2023-04-12,0.0,-0.033
122,2023-04-13,-0.41,-0.722
123,2023-04-14,1.33,1.126
124,2023-04-17,-0.21,-0.06
125,2023-04-18,0.33,0.342
126,2023-04-19,0.09,-0.225
