,날짜,변동 %,당일 변동률
0,2022-10-17,0.25,0.408
1,2022-10-18,-2.03,-2.789
2,2022-10-19,-2.77,-1.929
3,2022-10-20,0.85,-0.582
4,2022-10-21,-2.54,-4.217
5,2022-10-24,-0.97,-1.721
6,2022-10-25,0.54,-2.61
7,2022-10-26,-4.66,-4.497
8,2022-10-27,-4.15,-4.079
9,2022-10-28,0.4,-0.436
10,2022-10-31,-5.99,-6.125
11,2022-11-01,0.5,-3.828
12,2022-11-02,-0.27,-0.578
13,2022-11-03,0.19,-0.691
14,2022-11-04,-2.17,-2.617
15,2022-11-07,-2.96,-4.214
16,2022-11-08,-0.81,-5.142
17,2022-11-09,4.89,3.359
18,2022-11-10,2.15,2.96
19,2022-11-11,-9.81,-11.241
20,2022-11-14,-4.29,-5.735
21,2022-11-15,5.37,-1.084
22,2022-11-16,3.41,3.239
23,2022-11-17,-1.75,-0.741
24,2022-11-18,-0.75,-0.499
25,2022-11-21,-3.38,-3.787
26,2022-11-22,-3.29,-7.027
27,2022-11-23,-4.79,-5.755
28,2022-11-24,-4.42,-5.305
29,2022-11-25,0.34,-0.39
30,2022-11-28,0.39,-0.534
31,2022-11-29,8.34,0.543
32,2022-11-30,-1.44,-0.905
33,2022-12-01,-5.98,-5.161
34,2022-12-02,-3.6,-4.753
35,2022-12-05,-3.93,-6.66
36,2022-12-06,8.87,2.217
37,2022-12-07,6.84,7.153
38,2022-12-08,2.3,1.613
39,2022-12-09,-1.72,-2.28
40,2022-12-12,2.42,1.242
41,2022-12-13,9.51,2.459
42,2022-12-14,-9.8,-10.658
43,2022-12-15,-6.25,-7.403
44,2022-12-16,7.99,6.087
45,2022-12-19,-0.92,-2.752
46,2022-12-20,-0.88,-0.928
47,2022-12-21,-4.19,-7.294
48,2022-12-22,-6.56,-5.553
49,2022-12-23,9.47,9.412
50,2022-12-26,-5.01,-5.864
51,2022-12-27,0.0,0.0
52,2022-12-28,3.74,-0.092
53,2022-12-29,2.26,3.121
54,2022-12-30,-3.16,-3.64
55,2023-01-03,1.07,-0.733
56,2023-01-04,5.68,-0.823
57,2023-01-05,-3.89,-4.012
58,2023-01-06,2.04,1.171
59,2023-01-09,-5.92,-6.875
60,2023-01-10,3.98,1.011
61,2023-01-11,-6.33,-7.381
62,2023-01-12,2.48,1.394
63,2023-01-13,-10.72,-12.662
64,2023-01-16,-2.55,-3.421
65,2023-01-17,6.21,0.257
66,2023-01-18,-0.67,-2.665
67,2023-01-19,5.06,5.498
68,2023-01-20,0.88,0.441
69,2023-01-23,-3.27,-2.12
70,2023-01-24,-0.2,-1.979
71,2023-01-25,-3.08,-3.469
72,2023-01-26,-0.63,-2.454
