,날짜,변동 %,당일 변동률
0,2023-04-03,-1.68,-2.655
1,2023-04-04,-0.8,-6.266
2,2023-04-05,2.43,1.118
3,2023-04-06,0.42,-1.751
4,2023-04-07,-3.56,-4.663
5,2023-04-10,0.0,0.0
6,2023-04-11,3.1,-2.166
7,2023-04-12,0.69,0.105
8,2023-04-13,-0.05,-1.496
9,2023-04-14,-6.76,-5.47
10,2023-04-17,-4.1,-4.849
11,2023-04-18,-0.7,-3.584
12,2023-04-19,-0.71,-0.649
13,2023-04-20,-2.2,-4.855
14,2023-04-21,4.31,1.899
15,2023-04-24,-2.33,-4.226
16,2023-04-25,0.72,-7.3
17,2023-04-26,11.07,6.47
18,2023-04-27,0.43,0.965
19,2023-04-28,-9.61,-7.596
20,2023-05-01,-7.34,-8.309
21,2023-05-02,1.9,-2.011
22,2023-05-03,10.57,9.281
23,2023-05-04,3.15,2.918
24,2023-05-05,9.54,4.799
25,2023-05-08,-14.44,-11.846
26,2023-05-09,-1.22,-4.23
27,2023-05-10,4.3,2.429
28,2023-05-11,-4.35,-3.641
29,2023-05-12,-0.06,0.774
30,2023-05-15,0.59,1.188
31,2023-05-16,0.53,-1.835
32,2023-05-17,5.08,2.566
33,2023-05-18,-6.23,-6.069
34,2023-05-19,-4.86,-5.142
35,2023-05-22,4.74,4.216
36,2023-05-23,2.38,-1.375
37,2023-05-24,7.67,6.801
38,2023-05-25,8.09,6.543
39,2023-05-26,-4.44,-2.047
40,2023-05-29,-6.22,-5.873
41,2023-05-30,-2.73,-0.399
42,2023-05-31,0.0,-0.569
43,2023-06-01,2.75,-0.554
44,2023-06-02,-12.76,-9.223
45,2023-06-05,-6.71,-6.709
46,2023-06-06,0.89,-3.599
47,2023-06-07,-5.23,-6.372
48,2023-06-08,-0.14,-1.414
49,2023-06-09,-2.08,-3.465
50,2023-06-12,1.32,0.363
51,2023-06-13,8.53,3.947
52,2023-06-14,-2.66,-2.535
53,2023-06-15,-5.0,-4.144
54,2023-06-16,4.47,2.91
55,2023-06-19,-6.62,-6.556
56,2023-06-20,4.8,0.71
57,2023-06-21,-2.18,-3.343
58,2023-06-22,-4.9,-4.899
59,2023-06-23,-2.2,-6.988
60,2023-06-26,4.11,1.511
61,2023-06-27,6.03,-1.247
62,2023-06-28,-3.58,-2.622
63,2023-06-29,-2.26,-3.381
64,2023-06-30,0.82,-0.733
65,2023-07-03,0.37,0.592
66,2023-07-04,-0.15,-2.022
67,2023-07-05,0.96,1.182
68,2023-07-06,3.5,-0.07
69,2023-07-07,8.89,3.973
70,2023-07-10,-3.95,-7.138
71,2023-07-11,1.62,-6.281
72,2023-07-12,-1.53,-1.198
73,2023-07-13,-8.76,-8.637
74,2023-07-14,0.52,1.265
75,2023-07-17,-1.98,-2.77
76,2023-07-18,1.05,-2.177
77,2023-07-19,-1.34,-2.278
78,2023-07-20,3.46,3.303
79,2023-07-21,1.67,0.215
80,2023-07-24,-2.79,-1.947
81,2023-07-25,2.28,-2.659
82,2023-07-26,-0.36,-1.141
83,2023-07-27,-4.83,-4.834
84,2023-07-28,9.25,9.665
85,2023-07-31,-7.49,-4.989
86,2023-08-01,2.25,-2.504
87,2023-08-02,2.2,1.309
88,2023-08-03,15.51,2.484
89,2023-08-04,-1.06,-5.069
90,2023-08-07,7.41,6.808
91,2023-08-08,-7.78,-6.686
92,2023-08-09,1.4,-1.781
93,2023-08-10,-0.19,0.949
94,2023-08-11,-0.69,1.733
95,2023-08-14,-6.37,-4.443
96,2023-08-15,-0.13,-6.675
97,2023-08-16,11.07,10.1
98,2023-08-17,1.94,1.451
99,2023-08-18,6.62,5.483
100,2023-08-21,-3.3,-2.809
101,2023-08-22,-0.98,-4.992
102,2023-08-23,-0.93,0.059
103,2023-08-24,-5.83,-3.966
104,2023-08-25,7.63,10.469
105,2023-08-28,-8.84,-8.89
106,2023-08-29,-3.83,-7.143
107,2023-08-30,-4.18,-4.178
108,2023-08-31,-3.94,-4.474
109,2023-09-01,-2.23,-2.933
110,2023-09-04,-3.54,-3.466
111,2023-09-05,5.58,1.468
112,2023-09-06,1.37,-0.989
113,2023-09-07,3.14,1.261
114,2023-09-08,-0.35,-2.768
115,2023-09-11,-3.89,-2.672
116,2023-09-12,-0.29,-2.611
117,2023-09-13,3.12,1.498
118,2023-09-14,-5.27,-6.519
119,2023-09-15,-4.9,-4.257
120,2023-09-18,7.57,8.583
121,2023-09-19,1.52,-2.778
122,2023-09-20,0.79,0.0
123,2023-09-21,7.3,6.77
124,2023-09-22,15.85,13.234
125,2023-09-25,-1.94,-0.635
126,2023-09-26,-1.74,-2.029
127,2023-09-27,12.07,5.047
128,2023-09-28,-3.8,-0.383
129,2023-09-29,-4.83,-4.83
130,2023-10-02,1.04,3.853
131,2023-10-03,0.51,1.733
132,2023-10-04,12.32,11.061
133,2023-10-05,-6.07,-10.328
134,2023-10-06,-0.48,-0.964
135,2023-10-09,-5.62,-6.834
136,2023-10-10,1.43,-9.417
137,2023-10-11,-3.79,-3.785
138,2023-10-12,-5.52,-5.074
139,2023-10-13,3.73,3.794
140,2023-10-16,15.76,16.878
141,2023-10-17,-10.92,-9.895
142,2023-10-18,3.89,2.7
143,2023-10-19,7.49,4.684
144,2023-10-20,11.34,8.464
